relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,DAC,DACquote,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,UCL,ADD,MOD,DEL,bug
jscomp.AbstractCommandLineRunner,3.982142857,20,17,223,16.96428571,11.42857143,19,19,51,56,67,56,40,16,74,1269,640,843,551,1,70,1,56,11,1,0.16374269,4.767857143,41,267,13,9,253,141,555,253,422,137,126,558,157,62,0
jscomp.AbstractCompiler,1,1,51,51,1.078431373,0.039215686,2,2,51,51,62,51,0,51,31,75,2,63,5,1,66,1,51,11,1,0.163461538,0,25,0,2,2,0,0,0,0,62,62,35,35,5,0,0
jscomp.AbstractMessageFormatter,1.5,3,4,9,4,1.833333333,3,3,5,6,17,6,2,4,6,45,11,27,13,1,21,1,6,11,1,0.142857143,1.166666667,5,7,1,1,2,2,4,2,18,18,3,0,1,0,0
jscomp.AbstractPeepholeOptimization,1.230769231,4,12,16,4.153846154,1.846153846,1,1,12,13,24,13,4,9,11,58,24,37,20,1,36,1,13,11,1,0.154761905,1,7,13,1,1,16,13,21,16,53,36,16,58,0,0,0
rhino.testing.AbstractStaticScope,1,1,5,5,2.6,0.8,0,0,5,5,16,5,0,5,2,20,4,10,4,1,19,1,5,11,1,0.138888889,0,4,0,0,0,0,0,0,0,16,16,2,20,0,0,0
jscomp.webservice.common.AbstractWebServiceException,1,1,3,3,2,0.666666667,6,0,3,3,31,3,0,3,0,9,2,5,1,3,34,3,2,28,3,0.17816092,0.333333333,3,1,0,0,1,1,2,1,32,32,1,9,0,0,0
jscomp.AliasExternals,2.5,11,10,45,10.88888889,7.166666667,15,15,16,18,29,18,14,4,30,370,129,241,129,1,31,1,18,11,1,0.157894737,5.222222222,15,94,11,6,131,66,283,131,122,56,63,22,59,5,0
jscomp.AliasKeywords,2,4,5,20,7.4,4.4,11,11,8,10,21,10,7,3,8,232,44,157,76,1,23,1,10,11,1,0.151515152,2.8,13,28,4,4,48,23,71,48,184,40,17,54,14,11,0
jscomp.AliasStrings,4.6,17,1,46,15.9,11.1,11,11,8,10,21,10,7,3,17,248,111,165,94,2,24,2,10,11,2,0.202020202,6.7,13,67,8,7,49,26,121,49,110,44,35,8,16,23,0
rhino.jstype.AllType,1,1,13,13,3,1,16,1,13,13,129,13,0,13,8,53,13,28,13,2,120,2,1,116,2,0.336805556,0.307692308,9,4,0,0,2,1,2,0,287,173,6,3,6,7,0
jscomp.AmbiguateProperties,3.545454545,9,1,39,16.63636364,11.72727273,13,13,11,11,22,11,8,3,13,389,129,258,148,1,24,1,11,11,1,0.152777778,8.454545455,25,93,11,7,99,68,188,99,108,59,49,16,26,5,0
jscomp.AnalyzeNameReferences,1.25,2,3,5,6.5,3.75,3,3,4,4,15,4,1,3,4,80,15,53,28,1,17,1,4,11,1,0.133333333,2.75,12,11,3,3,13,7,44,13,100,22,12,1,0,0,0
jscomp.AnalyzePrototypeProperties,2.75,5,1,11,13.75,9.5,14,14,4,4,15,4,1,3,8,500,38,319,175,1,17,1,4,11,1,0.133333333,3.25,14,13,12,8,32,13,68,32,78,23,25,106,73,25,1
jscomp.parsing.Annotation,1,1,2,2,0,0,52,50,2,2,19,2,0,2,1,107,0,2,0,2,22,2,2,17,2,0.148148148,0,1,0,50,2,0,0,0,0,19,19,1,20,0,0,0
jscomp.AnonymousFunctionNamingCallback,4.666666667,7,1,14,15.66666667,11,1,1,3,3,14,3,1,2,6,57,33,40,18,2,17,2,3,11,2,0.166666667,9.333333333,6,28,0,0,16,16,44,16,22,22,11,1,6,1,0
