relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,DAC,DACquote,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,UCL,bug
jscomp.AbstractCommandLineRunner,3.8,18,12,133,16.31428571,11,7,7,27,35,46,35,25,10,43,773,385,541,350,1,49,1,35,11,1,0.162037037,4.742857143,31,166,6,5,165,89,461,165,342,93,84,0
jscomp.AbstractCompiler,1,1,36,36,1,0,1,1,36,36,47,36,0,36,18,40,0,38,0,1,51,1,36,11,1,0.162162162,0,19,0,1,1,0,0,0,0,47,47,19,0
jscomp.AbstractMessageFormatter,1.5,3,4,9,4,1.833333333,3,3,5,6,17,6,2,4,6,45,11,27,13,1,21,1,6,11,1,0.142857143,1.166666667,5,7,1,1,2,2,4,2,18,18,3,0
jscomp.AliasExternals,2.6875,11,8,43,11.875,7.875,16,16,14,16,27,16,12,4,28,353,126,239,121,1,29,1,16,11,1,0.156862745,6.4375,15,103,12,6,141,62,330,141,97,47,70,0
jscomp.AliasKeywords,2.25,4,3,18,7.625,4.375,10,10,8,8,19,8,6,2,7,189,35,138,66,1,21,1,8,11,1,0.148148148,2.375,9,19,4,4,27,14,46,27,72,31,15,0
jscomp.AliasStrings,4.8,17,1,48,17.3,12.3,11,11,8,10,21,10,7,3,17,263,123,177,102,2,24,2,10,11,2,0.202020202,8.4,13,84,8,6,61,32,162,61,96,42,38,0
rhino.jstype.AllType,1.076923077,2,12,14,3.230769231,1.153846154,12,1,13,13,91,13,0,13,8,57,15,30,15,2,82,2,1,78,2,0.35,0.692307692,9,9,0,0,7,5,10,2,115,107,7,0
jscomp.AmbiguateProperties,3.545454545,9,1,39,16.45454545,11.54545455,13,13,11,11,22,11,8,3,13,378,127,259,149,1,24,1,11,11,1,0.152777778,7.181818182,25,79,11,7,85,55,154,85,102,53,49,0
jscomp.AnalyzeNameReferences,1.25,2,3,5,6.5,3.75,3,3,4,4,15,4,1,3,4,79,15,53,28,1,17,1,4,11,1,0.133333333,2.75,12,11,3,3,13,7,44,13,96,22,12,0
jscomp.AnalyzePrototypeProperties,2.75,5,1,11,13.75,9.5,14,14,4,4,15,4,1,3,8,419,38,266,143,1,17,1,4,11,1,0.133333333,3.5,13,14,12,8,33,14,70,33,79,24,25,0
