relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,ADD,MOD,DEL,bug
math.geometry.partitioning.utilities.AVLTree,2.888888889,5,2,26,8.111111111,4.666666667,1,1,9,9,20,9,0,9,4,378,42,274,219,1,22,1,9,11,1,0.15,2.111111111,2,19,10,7,84,10,33,27,0,0,0,0
math.analysis.function.Abs,1,1,1,1,3,1,0,0,1,1,12,1,0,1,1,5,1,3,1,1,14,1,1,11,1,0.083333333,1,1,1,2,1,2,2,13,13,0,1,0,0
math.optimization.AbstractConvergenceChecker,1,1,5,5,3.2,1.2,4,4,5,5,16,5,0,5,5,28,6,16,6,1,22,1,5,11,1,0.138888889,0,2,0,0,0,0,0,16,16,3,2,0,0
math.optimization.general.AbstractDifferentiableOptimizer,1,1,4,4,4.75,1.25,8,1,4,4,30,4,4,0,10,25,5,11,5,2,33,2,4,26,2,0.177777778,1.25,10,5,11,4,14,4,59,42,25,0,0,0
math.analysis.solvers.AbstractDifferentiableUnivariateSolver,1,1,4,4,4.5,1.5,11,1,4,4,38,4,4,0,10,24,6,12,6,2,42,2,4,34,2,0.177777778,1.5,4,6,14,4,21,0,64,51,25,0,0,0
math.linear.AbstractFieldMatrix,2.614285714,9,22,183,10.95714286,6.457142857,1,1,66,70,78,70,14,56,120,777,452,611,366,1,80,1,67,8,1,0.255124777,2.142857143,25,150,121,37,92,121,99,90,42,52,0,0
math.fraction.AbstractFormat,1.384615385,4,10,18,5.230769231,2.461538462,3,3,9,13,24,13,7,6,16,75,32,49,27,2,31,2,13,11,2,0.206349206,0.153846154,8,2,6,2,4,6,29,25,0,2,0,0
math.distribution.AbstractIntegerDistribution,2.666666667,9,4,24,10.33333333,6.555555556,3,3,9,9,20,9,4,5,10,101,59,68,43,1,28,1,9,11,1,0.15,2,12,18,21,7,16,21,39,26,38,32,46,0
math.ode.AbstractIntegrator,1.913043478,15,17,44,8.130434783,4.695652174,10,10,23,23,34,23,6,17,33,201,108,146,88,1,52,1,23,11,1,0.159722222,2.565217391,20,59,102,50,350,102,99,68,40,22,28,0
math.optimization.general.AbstractLeastSquaresOptimizer,1.409090909,5,18,31,6.5,3.636363636,18,11,22,22,50,22,11,11,24,177,80,117,55,2,54,2,21,28,2,0.223615465,2.318181818,23,51,79,39,336,62,187,80,92,37,18,0
math.optimization.linear.AbstractLinearOptimizer,1.090909091,2,10,12,3.818181818,1.454545455,7,7,11,11,22,11,7,4,5,51,16,35,16,1,25,1,11,11,1,0.152777778,0.090909091,5,1,2,1,2,2,27,23,12,11,1,0
math.genetics.AbstractListChromosome,1,1,7,7,2.571428571,0.857142857,3,1,7,7,22,7,2,5,4,22,6,15,6,2,26,2,6,15,2,0.211309524,0.142857143,3,1,1,1,5,0,22,22,0,2,0,0
math.stat.regression.AbstractMultipleLinearRegression,2.047619048,9,15,43,6.571428571,3.714285714,3,3,21,21,32,21,11,10,10,144,78,107,63,1,36,1,21,11,1,0.159090909,1.619047619,16,34,55,28,158,55,92,47,6,33,13,0
math.distribution.AbstractMultivariateRealDistribution,1.4,3,4,7,4.6,2.2,2,2,5,5,16,5,1,4,4,28,11,20,10,1,20,1,5,11,1,0.138888889,0.4,3,2,3,1,2,3,23,17,28,0,0,0
math.ode.AbstractParameterizable,1.8,3,2,9,5.4,2.4,1,1,5,5,16,5,2,3,4,30,12,21,12,1,18,1,5,11,1,0.138888889,0.2,2,1,2,1,3,2,21,17,30,0,0,0
math.analysis.solvers.AbstractPolynomialSolver,1,1,5,5,4,1.2,11,1,5,5,39,5,5,0,11,26,6,13,6,2,43,2,5,34,2,0.185185185,1,2,5,16,5,18,1,66,53,0,1,0,0
math.random.AbstractRandomGenerator,1.769230769,5,9,23,5.615384615,3.076923077,1,1,13,13,24,13,0,13,5,76,40,58,32,1,26,1,13,11,1,0.154761905,0.230769231,5,3,6,3,6,6,35,27,0,0,0,0
