relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
chart\ChartColor.java,org.jfree.chart.ChartColor,2,24,24,2,2,3,67,29,1,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0.5,0,1,1,0,1,1,1,2,2,1,0,0,0.5,0,0,0,1,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
chart\ChartFactory.java,org.jfree.chart.ChartFactory,151,0,0,38,38,265,1058,592,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0.196675900277008,-0.0555555555555556,0,0,0,0,703,703,38,38,undefined,0.860148236879539,0,undefined,0,0,0.427246376811594,0,0,0,0,0,91,0,0,0,0,982,0,411,982,0,0,0,154,3,411,352,0
chart\ChartFrame.java,org.jfree.chart.ChartFrame,4,1,1,3,3,5,20,13,1,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0.555555555555556,0,1,1,0,1,2,1,2,1,0.5,0.333333333333333,0.666666666666667,0.666666666666667,1,1,-1,1,0,0,0,0,2,1,0,0,0,2,0,1,2,0,1,0,5,0,1,17,0
chart\ChartMouseEvent.java,org.jfree.chart.ChartMouseEvent,4,4,4,4,4,3,22,16,1,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0.25,0,0,0,0,0,3,0,1,1,0.833333333333333,0.5,0.5,0.375,1,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,6,2,0,4,0
chart\ChartPanel.java,org.jfree.chart.ChartPanel,223,70,70,100,100,104,1200,794,1,1,1,2,0,2,100,0,0,1,1,1,1,0,1,0,1,0.0361904761904762,0.0845186559472274,0.187394957983193,0.764425770308123,116,0.764425770308123,4487,4024,12,2,0.973593073593074,0.933410293410293,0.102828282828283,0.0361428571428571,0.95959595959596,0.707070707070707,-0.723226703755214,0.187394957983193,0,0,0,9780.39030420943,16,34,0,0,11,82,0,46,82,2,34,1,52,6,46,162,0
chart\ChartRenderingInfo.java,org.jfree.chart.ChartRenderingInfo,20,4,4,12,12,6,75,53,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0.1,0.545454545454545,0.678571428571429,1,0,1,26,0,2,1,0.681818181818182,0.806060606060606,0.621212121212121,0.375,1,0.727272727272727,0,0.678571428571429,0,0,0,0,6,2,0,0,0,19,0,8,19,2,2,28,5,43,8,17,0
chart\ChartUtilities.java,org.jfree.chart.ChartUtilities,43,0,0,26,26,114,241,119,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0.298076923076923,-0.0366666666666667,0.0369230769230769,0.0369230769230769,34,0,325,325,26,12,undefined,0.653589743589744,0.0430769230769231,undefined,0,0,-0.494860499265786,0,0,0,0,0,10,0,0,0,0,89,0,23,89,0,0,0,62,3,23,85,0
chart\JFreeChart.java,org.jfree.chart.JFreeChart,157,22,22,70,70,76,695,471,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0.0298701298701299,0.0984654731457801,0.462841530054645,0.934972677595628,95,0.934972677595628,2156,1897,19,3,0.9433465085639,0.94271911663216,0.124223602484472,0.0701298701298701,0.942028985507246,0.942028985507246,-0.81180223285486,0.462841530054645,0,0,0,0,34,15,0,0,0,171,0,73,171,6,15,88,65,108,73,149,0
chart\JFreeChart.java,org.jfree.chart.JFreeChartInfo,4,10,0,32,2,0,118,21,3,0,3,1,1,0,1,30,1,3,0,0,1,0.09375,0,0,0,,0,1,1,0,1,1,1,2,2,undefined,,0,undefined,0,0,,1,0,0,7,0,2,0,0,0,0,270,13,94,257,0,0,0,0,0,87,47,0
chart\LegendItem.java,org.jfree.chart.LegendItem,70,24,24,38,38,81,354,222,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0.0845864661654135,0.0990990990990991,0.0712250712250712,0.603988603988604,2,0.603988603988604,601,499,5,4,0.908783783783784,0.85257061572851,0.14651493598862,0.115131578947368,0.702702702702703,0.513513513513513,-0.748314606741572,0.0712250712250712,0,0,0,0,7,15,0,0,0,57,0,23,57,0,15,6,82,111,23,57,0
chart\LegendItemCollection.java,org.jfree.chart.LegendItemCollection,11,2,2,8,8,4,38,26,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.125,0.666666666666667,0.714285714285714,0.714285714285714,0,0.714285714285714,7,0,2,2,0.642857142857143,0.75,0.75,0.4375,0.857142857142857,0.857142857142857,0,0.714285714285714,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,8,3,34,0,8,0
chart\LegendRenderingOrder.java,org.jfree.chart.LegendRenderingOrder,9,4,4,4,4,2,36,24,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.25,0.333333333333333,1,1,5,1,3,0,2,1,0.916666666666667,0.5,0.666666666666667,0.3125,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0
chart\PaintMap.java,org.jfree.chart.PaintMap,18,1,1,9,9,7,73,55,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.155555555555556,0.714285714285714,0.666666666666667,0.666666666666667,6,0.666666666666667,8,0,2,2,0.125,0.722222222222222,0.777777777777778,0.888888888888889,0.875,0.875,1,0.666666666666667,0,0,0,0,2,1,0,0,0,8,0,3,8,2,1,0,7,10,3,13,0
chart\PolarChartPanel.java,org.jfree.chart.PolarChartPanel,18,73,3,101,7,12,101,71,2,0,2,2,2,0,5,94,2,2,0,0,1,0.0396039603960396,1,1,0,0.257142857142857,-0.0666666666666667,0,0,13,0,20,19,6,2,0.833333333333333,0.619047619047619,0.238095238095238,0.285714285714286,0.166666666666667,0,0,0,0,0,11,0,4,3,0,0,0,35,24,19,11,0,3,0,6,0,8,184,0
chart\StrokeMap.java,org.jfree.chart.StrokeMap,18,1,1,9,9,7,73,55,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.155555555555556,0.714285714285714,0.666666666666667,0.666666666666667,6,0.666666666666667,8,0,2,2,0.125,0.722222222222222,0.777777777777778,0.888888888888889,0.875,0.875,1,0.666666666666667,0,0,0,0,2,1,0,0,0,8,0,3,8,1,1,0,7,5,3,12,0
chart\annotations\AbstractXYAnnotation.java,org.jfree.chart.annotations.AbstractXYAnnotation,17,2,2,9,9,15,64,41,0,2,0,24,0,24,9,0,0,0,7,8,0,0,0,0,0,0.160493827160494,0.321428571428571,0.523809523809524,0.714285714285714,0,0.714285714285714,19,2,3,3,0.5,0.709876543209877,0.472222222222222,0.555555555555556,0.75,0.5,-0.666666666666665,0.523809523809524,0,0,0,2907.93598098149,7,2,0,0,31,13,0,5,13,0,2,0,14,0,5,14,0
