relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
debugging\sourcemap\Base64.java,com.google.debugging.sourcemap.Base64,5,2,2,4,4,3,31,24,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.375,-0.666666666666667,0.333333333333333,0.333333333333333,4,0.333333333333333,6,6,4,3,1,0.416666666666667,0.166666666666667,0.25,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,4,0
debugging\sourcemap\Base64VLQ.java,com.google.debugging.sourcemap.Base64VLQ,10,4,4,5,5,5,49,37,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.333333333333333,-0.166666666666667,1,1,4,1,9,8,4,2,0.875,0.533333333333333,0.3,0.3,0.25,0,1,1,0,0,0,0,2,0,0,0,0,4,0,2,4,0,0,0,1,0,2,7,0
debugging\sourcemap\FilePosition.java,com.google.debugging.sourcemap.FilePosition,3,2,2,3,3,2,14,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,1,0,1,1,0.5,0.333333333333333,0.666666666666667,0.666666666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,76,0,3,0
debugging\sourcemap\SourceMapConsumerFactory.java,com.google.debugging.sourcemap.SourceMapConsumerFactory,8,0,0,3,3,4,38,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.444444444444444,-1,0,0,0,0,3,3,3,2,undefined,0.333333333333333,0.333333333333333,undefined,0,0,0,0,0,0,0,0,6,0,0,0,0,18,0,8,18,0,0,0,3,0,8,56,0
debugging\sourcemap\SourceMapConsumerV1.java,com.google.debugging.sourcemap.SourceMapConsumerV1,34,5,5,8,8,14,367,267,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.270833333333333,0.0476190476190476,1,1,19,1,26,24,6,1,0.942857142857143,0.625,0.285714285714286,0.175,0.714285714285714,0.428571428571429,-0.4,1,0,0,0,0,6,5,0,0,0,72,0,42,72,0,5,0,12,1,42,31,0
debugging\sourcemap\SourceMapConsumerV2.java,com.google.debugging.sourcemap.SourceMapConsumerV2,19,3,3,5,5,9,95,63,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.4,-0.166666666666667,1,1,3,1,9,8,4,2,0.75,0.55,0.3,0.4,0.75,0.75,4.44089209850063e-016,1,0,0,0,0,2,3,0,0,0,10,0,5,10,0,3,0,8,2,5,6,0
debugging\sourcemap\SourceMapConsumerV3.java,com.google.debugging.sourcemap.SourceMapConsumerV3,61,6,6,16,16,29,488,318,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0.14375,0.114285714285714,1,1,28,1,102,84,9,2,0.855555555555556,0.750833333333333,0.225,0.197916666666667,0.666666666666667,0.666666666666667,-0.813333333333334,1,0,0,0,0,8,4,0,0,0,40,0,18,40,0,4,0,20,5,18,37,1
debugging\sourcemap\SourceMapFormat.java,com.google.debugging.sourcemap.SourceMapFormat,2,4,4,2,2,1,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
debugging\sourcemap\SourceMapGeneratorFactory.java,com.google.debugging.sourcemap.SourceMapGeneratorFactory,6,0,0,2,2,1,18,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,1,2,1,undefined,0,1,undefined,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
debugging\sourcemap\SourceMapGeneratorV1.java,com.google.debugging.sourcemap.SourceMapGeneratorV1,19,5,5,9,9,15,307,221,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.203703703703704,0.0357142857142857,0.333333333333333,0.476190476190476,3,0.476190476190476,29,22,5,3,0.85,0.694444444444444,0.25,0.244444444444444,0.625,0.375,0.200000000000001,0.333333333333333,0,0,0,0,7,4,0,0,0,46,0,30,46,0,4,0,13,0,30,30,0
debugging\sourcemap\SourceMapGeneratorV2.java,com.google.debugging.sourcemap.SourceMapGeneratorV2,32,10,10,18,18,30,450,324,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0.180555555555556,0.0661764705882353,0.333333333333333,0.476190476190476,53,0.476190476190476,140,127,10,3,0.929411764705882,0.772875816993464,0.169934640522876,0.122222222222222,0.529411764705882,0.235294117647059,-0.161290322580645,0.333333333333333,0,0,0,0,7,7,0,0,0,46,0,30,46,0,7,0,28,0,30,39,0
debugging\sourcemap\SourceMapGeneratorV3.java,com.google.debugging.sourcemap.SourceMapGeneratorV3,38,9,9,20,20,35,422,302,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0.18125,0.087719298245614,0.392857142857143,0.75,89,0.535714285714286,177,164,12,2,0.929824561403509,0.7625,0.178947368421053,0.116666666666667,0.526315789473684,0.210526315789474,-0.272727272727273,0.357142857142857,0,0,0,0,11,7,0,0,0,55,0,38,55,0,7,0,30,1,38,68,0
debugging\sourcemap\SourceMapLineDecoder.java,com.google.debugging.sourcemap.SourceMapLineDecoder,14,0,0,7,7,11,85,72,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.321428571428571,-0.0666666666666667,0.333333333333333,0.333333333333333,19,0,21,21,7,2,undefined,0.547619047619048,0.238095238095238,undefined,0,0,-0.555555555555555,0,0,0,0,0,3,0,0,0,0,17,0,12,17,0,0,0,8,0,12,13,0
debugging\sourcemap\SourceMapParseException.java,com.google.debugging.sourcemap.SourceMapParseException,1,0,0,1,1,1,5,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,undefined,undefined,0,undefined,0,0,1,1,undefined,1,1,undefined,0,0,1,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,1,0
