relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,NMA,NMI,NOA,PII,AMC,CBO,CC,DAC,DACquote,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,UCL,ADD,MOD,DEL,bug
org.jfree.chart.annotations.AbstractAnnotation,1.363636364,3,8,15,4.454545455,2,2,2,11,11,21,11,5,6,7,54,22,37,19,1,37,10,10,1,0.181818182,0.181818182,5,2,1,1,3,1,3,3,24,22,6,54,0,0,0
org.jfree.chart.block.AbstractBlock,1.611111111,10,27,58,6.222222222,3.527777778,8,8,36,36,45,36,14,22,33,234,127,167,102,1,59,34,9,1,0.222510823,1.722222222,17,62,3,2,93,48,398,93,83,70,35,0,0,0,0
org.jfree.data.category.AbstractCategoryDataset,1,1,3,3,3.333333333,1.333333333,4,1,3,3,23,3,0,3,1,13,4,9,4,2,29,3,20,2,0.166666667,0.666666667,2,2,0,0,3,2,5,0,25,25,0,13,0,0,0
org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,2.307692308,6,7,30,9.615384615,5.692307692,6,6,13,13,21,13,5,8,18,134,74,92,63,1,25,10,8,1,0.242424242,1,10,13,3,2,24,8,49,24,25,25,9,0,0,0,0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,2.787878788,19,32,184,13.92424242,8.848484848,72,15,66,66,226,66,11,55,179,938,584,569,361,2,246,62,160,2,0.226824967,3.984848485,54,263,6,3,443,205,1441,365,406,329,162,151,45,51,1
org.jfree.data.general.AbstractDataset,1.25,3,10,15,4.333333333,2,3,3,12,12,22,12,5,7,8,58,24,41,21,1,72,11,10,1,0.183080808,0.25,8,3,2,2,5,2,11,5,24,24,10,0,3,0,0
org.jfree.chart.plot.dial.AbstractDialLayer,1.363636364,3,9,15,5,2.545454545,2,2,11,11,19,11,3,8,7,59,28,43,23,1,29,8,8,1,0.239057239,0.272727273,6,3,1,1,5,2,5,5,23,21,5,0,0,0,0
org.jfree.data.xy.AbstractIntervalXYDataset,2,2,0,8,8,5,5,0,4,4,34,4,0,4,8,35,20,25,12,4,53,4,30,4,0.213333333,1,2,4,0,0,0,0,0,0,36,36,0,0,0,0,0
org.jfree.chart.panel.AbstractMouseHandler,1,1,10,10,2.3,0.3,1,1,10,10,21,10,0,10,8,27,3,15,3,1,26,10,11,1,0.151515152,0,0,0,0,0,0,0,0,0,21,21,7,27,0,0,0
org.jfree.chart.util.AbstractObjectList,2.384615385,6,5,31,8.923076923,5.307692308,5,5,13,13,21,13,8,5,10,123,69,93,59,1,25,10,8,1,0.242424242,0.384615385,7,5,0,0,15,5,20,15,24,24,2,0,0,0,0
org.jfree.chart.panel.AbstractOverlay,1.8,3,2,9,5.6,2.8,1,1,5,5,16,5,1,4,3,31,14,22,12,1,19,5,11,1,0.138888889,0.4,4,2,1,1,2,1,2,2,17,17,3,31,0,0,0
org.jfree.data.pie.AbstractPieDataset,1,1,3,3,3.333333333,1.333333333,4,1,3,3,23,3,0,3,1,14,4,9,4,2,30,3,20,2,0.166666667,0.666666667,2,2,0,0,3,2,5,0,25,25,0,14,0,0,0
org.jfree.chart.labels.AbstractPieItemLabelGenerator,2.555555556,6,4,23,10.44444444,6.333333333,4,4,9,9,17,9,3,6,8,100,57,69,45,1,18,6,8,1,0.233766234,0.555555556,9,5,2,1,11,4,31,11,20,20,6,0,0,0,0
org.jfree.chart.plot.AbstractPieLabelDistributor,1.166666667,2,5,7,3.166666667,1.166666667,1,1,6,6,17,6,0,6,4,22,7,15,7,1,20,6,11,1,0.142857143,0,3,0,1,1,0,0,0,0,17,17,3,0,0,0,0
