relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,DAC,DACquote,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,UCL,bug
org.jfree.chart.block.AbstractBlock,1.611111111,10,27,58,6.222222222,3.527777778,8,8,36,36,45,36,14,22,33,234,127,167,102,1,59,1,34,9,1,0.222510823,1.722222222,17,62,3,2,93,48,398,93,83,70,35,0
org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,2.307692308,6,7,30,9.615384615,5.692307692,6,6,13,13,21,13,5,8,18,134,74,92,63,1,25,1,10,8,1,0.242424242,1,10,13,3,2,24,8,45,24,25,25,9,0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,2.655737705,19,31,162,13.42622951,8.475409836,69,15,61,61,214,61,9,52,127,838,517,504,319,2,234,2,57,153,2,0.226883374,4.016393443,47,245,6,3,403,191,1336,341,375,306,133,0
org.jfree.data.general.AbstractDataset,1.25,3,10,15,4.333333333,2,3,3,12,12,22,12,5,7,7,58,24,41,21,1,71,1,11,10,1,0.183080808,0.25,7,3,2,2,4,2,6,4,24,24,9,0
org.jfree.chart.plot.dial.AbstractDialLayer,1.363636364,3,9,15,5,2.545454545,2,2,11,11,19,11,3,8,7,59,28,43,23,1,29,1,8,8,1,0.239057239,0.272727273,6,3,1,1,5,2,5,5,23,21,5,0
org.jfree.data.xy.AbstractIntervalXYDataset,2,2,0,8,8,5,4,0,4,4,32,4,0,4,8,35,20,25,12,4,53,4,4,28,4,0.213333333,1,2,4,0,0,0,0,0,0,34,34,0,0
org.jfree.chart.util.AbstractObjectList,2.384615385,6,5,31,8.923076923,5.307692308,5,5,13,13,21,13,8,5,10,123,69,93,59,1,25,1,10,8,1,0.242424242,0.384615385,7,5,0,0,15,5,20,15,24,24,2,0
org.jfree.chart.labels.AbstractPieItemLabelGenerator,2.555555556,6,4,23,10.44444444,6.333333333,4,4,9,9,17,9,3,6,8,100,57,69,45,1,18,1,6,8,1,0.233766234,0.555555556,9,5,2,1,11,4,31,11,20,20,6,0
org.jfree.chart.plot.AbstractPieLabelDistributor,1.166666667,2,5,7,3.166666667,1.166666667,1,1,6,6,17,6,0,6,4,22,7,15,7,1,20,1,6,11,1,0.142857143,0,3,0,1,1,0,0,0,0,17,17,3,0
org.jfree.chart.renderer.AbstractRenderer,2.013245033,38,97,304,7.291390728,4.178807947,54,54,151,151,159,151,5,146,198,1159,631,777,539,1,211,1,148,8,1,0.256457189,1.17218543,25,177,39,12,319,141,1231,319,213,195,152,0
org.jfree.data.general.AbstractSeriesDataset,1.4,3,4,7,3.4,1.4,4,1,5,5,25,5,1,4,3,21,7,16,7,2,60,2,5,20,2,0.185185185,0.4,2,2,0,0,2,2,5,0,27,27,1,0
org.jfree.chart.annotations.AbstractXYAnnotation,1.888888889,5,6,17,6.333333333,3.333333333,2,2,9,9,18,9,2,7,15,64,30,41,25,1,26,1,7,9,1,0.206439394,0.666666667,8,6,0,0,13,5,25,13,23,22,9,0
org.jfree.data.xy.AbstractXYDataset,1.666666667,2,1,5,6.333333333,3.666666667,4,0,3,3,28,3,0,3,4,22,11,15,7,3,61,3,3,25,3,0.1875,1,3,3,0,0,0,0,0,0,30,30,1,0
org.jfree.chart.labels.AbstractXYItemLabelGenerator,2.125,9,12,34,8.875,5,7,7,16,16,24,16,6,10,19,151,80,99,67,1,29,1,13,8,1,0.245670996,0.8125,8,13,4,2,27,9,51,27,27,27,16,0
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,3,19,28,177,15.52542373,10.28813559,68,14,58,59,213,59,7,52,139,933,607,575,363,2,241,2,56,154,2,0.224693013,4.644067797,43,274,6,3,445,224,1413,393,347,301,155,0
org.jfree.data.xy.AbstractXYZDataset,2,2,0,2,8,5,4,0,1,1,29,1,0,1,2,11,5,7,3,4,36,4,1,28,4,0.133333333,1,2,1,0,0,0,0,0,0,31,31,0,0
org.jfree.chart.util.Align,4,7,1,8,14,9,20,20,1,2,13,2,1,1,3,50,18,41,14,1,15,1,2,11,1,0.111111111,0,0,0,0,0,0,0,0,0,13,13,2,0
org.jfree.chart.util.ApplicationFrame,1.125,2,7,9,2.75,0.625,0,0,8,8,19,8,0,8,8,24,5,14,5,2,25,2,8,11,2,0.197530864,0,2,0,0,0,0,0,0,0,19,19,7,0
