relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
lang\ArrayUtils.java,org.apache.commons.lang.ArrayUtils,479,20,20,175,175,346,1576,1218,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0.0628571428571429,0.0454454853498106,0.0995528035775714,0.163329893360853,185,0.0859305125558995,14460,13695,121,59,0.985344827586207,0.888862303542106,0.0563546798029557,0.0202857142857143,0.281609195402299,0,-0.838086381483777,0.0859305125558995,0,0,0,0,5,10,0,0,0,17,0,10,17,0,10,0,30,12,10,269,0
lang\BitField.java,org.apache.commons.lang.BitField,23,2,2,18,18,23,67,46,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0.291666666666667,0.147058823529412,1,1,29,1,130,107,11,1,0.764705882352941,0.602941176470588,0.241830065359477,0.277777777777778,1,1,-0.777777777777777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
lang\BooleanUtils.java,org.apache.commons.lang.BooleanUtils,116,0,0,35,35,66,283,195,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0.15,-0.0481283422459893,0.0106951871657754,0.0106951871657754,27,0,595,595,35,28,undefined,0.76344537815126,0.0117647058823529,undefined,0,0,-0.758415841584159,0,0,0,0,0,2,0,0,0,0,2,0,1,2,0,0,0,62,11,1,36,0
lang\CharEncoding.java,org.apache.commons.lang.CharEncoding,3,6,6,1,1,2,19,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,6,0,2,0,0,1,0
lang\CharRange.java,org.apache.commons.lang.CharRange,23,5,5,12,12,11,85,59,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0.1875,0.454545454545455,0.892857142857143,1,1,1,34,2,4,1,0.709090909090909,0.708333333333333,0.545454545454545,0.35,1,0.727272727272727,0.111111111111109,0.892857142857143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,12,0
lang\CharSet.java,org.apache.commons.lang.CharSet,20,8,8,9,9,6,88,69,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.357142857142857,0.666666666666667,0.666666666666667,6,0.666666666666667,21,6,4,1,1.015625,0.708333333333333,0.5,0.0972222222222222,1,0,1,0.666666666666667,0,0,0,0,1,7,0,0,0,8,0,3,8,0,2,1,6,4,3,12,0
lang\CharSetUtils.java,org.apache.commons.lang.CharSetUtils,34,0,0,12,12,23,132,104,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0.472222222222222,-0.0363636363636364,0.622222222222222,0.622222222222222,14,0,66,66,12,3,undefined,0.661616161616162,0.136363636363636,undefined,0,0,0.25,0,0,0,0,0,3,0,0,0,0,38,0,19,38,0,0,0,31,1,19,20,0
lang\CharUtils.java,org.apache.commons.lang.CharUtils,39,5,5,23,23,26,144,89,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0.282608695652174,-0.0865800865800866,0.00432900432900433,0.00432900432900433,4,0,253,253,23,21,1.02727272727273,0.679841897233202,0.00790513833992095,0.0173913043478261,0,0,-0.425414364640884,0,0,0,0,0,1,3,0,0,0,6,0,3,6,0,3,0,15,1,3,24,0
lang\ClassUtils.java,org.apache.commons.lang.ClassUtils,81,6,6,22,22,33,316,224,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0.156565656565657,-0.0523809523809524,0.0526315789473684,0.0578947368421053,8,0.0526315789473684,228,225,19,12,0.992063492063492,0.763828763828764,0.0432900432900433,0.053030303030303,0.19047619047619,0,-0.575129533678756,0.0473684210526316,0,0,0,0,3,4,0,0,0,9,0,4,9,0,4,0,47,6,4,87,0
lang\Entities.java,org.apache.commons.lang.Entities,41,8,8,9,9,14,632,282,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.259259259259259,0.0357142857142857,1,1,17,1,33,30,7,1,1.03125,0.648148148148148,0.25,0.0833333333333333,1,0,-0.384615384615385,1,0,0,0,0,2,7,0,0,0,0,0,0,0,0,4,0,14,6,0,9,1
lang\enum\Enum.java,org.apache.commons.lang.Enum,42,6,6,16,16,15,161,116,0,1,0,2,0,2,16,0,0,0,1,1,0,0,1,0,1,0.15625,0.104761904761905,0.4,0.4,32,0.4,107,94,9,1,0.933333333333333,0.745833333333333,0.216666666666667,0.125,0.866666666666667,0.4,-0.454545454545454,0.4,0,0,0,984.681747516161,4,4,0,1,4,5,0,3,5,0,4,1,21,4,3,19,0
lang\enum\EnumUtils.java,org.apache.commons.lang.EnumUtils,6,0,0,6,6,7,20,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.388888888888889,-0.5,0,0,0,0,15,15,6,6,undefined,0.666666666666667,0,undefined,0,0,1,0,0,0,0,0,2,0,0,0,0,12,0,5,12,0,0,0,11,0,5,12,0
lang\IllegalClassException.java,org.apache.commons.lang.IllegalClassException,6,1,1,4,4,6,23,10,1,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0.416666666666667,-0.333333333333333,undefined,undefined,6,undefined,6,6,4,2,1.33333333333333,0.5,0.333333333333333,0,0,0,1,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0
lang\IncompleteArgumentException.java,org.apache.commons.lang.IncompleteArgumentException,4,1,1,3,3,4,15,8,1,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0.444444444444444,-1,undefined,undefined,2,undefined,3,3,3,2,1.5,0.333333333333333,0.333333333333333,0,0,0,0,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0
lang\IntHashMap.java,org.apache.commons.lang.IntHashMap,33,4,4,13,13,10,148,125,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0.256410256410256,0.393939393939394,0.777777777777778,1,3,1,43,8,4,1,0.708333333333333,0.641025641025641,0.487179487179487,0.346153846153846,1,0.833333333333333,-0.250000000000001,0.777777777777778,0,0,0,0,1,1,0,0,0,5,0,1,5,0,1,0,0,0,1,14,0
lang\LocaleUtils.java,org.apache.commons.lang.LocaleUtils,30,5,5,9,9,7,124,88,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.333333333333333,-0.107142857142857,0.25,0.357142857142857,3,0.357142857142857,35,34,8,4,1,0.5,0.138888888888889,0.111111111111111,0.5,0.125,-1,0.25,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,14,0,0,9,1
lang\NotImplementedException.java,org.apache.commons.lang.NotImplementedException,24,4,4,18,18,13,72,49,1,0,1,0,0,0,18,0,0,1,0,0,1,0,0,0,0,0.12037037037037,0.316176470588235,0.58974358974359,0.58974358974359,0,0.58974358974359,93,33,3,3,0.779411764705882,0.778867102396514,0.392156862745098,0.263888888888889,0.529411764705882,0.117647058823529,-0.900000000000004,0.58974358974359,0,0,0,0,1,3,0,0,0,18,0,10,18,0,3,0,16,0,10,39,0
lang\NullArgumentException.java,org.apache.commons.lang.NullArgumentException,2,1,1,1,1,1,6,4,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,undefined,undefined,0,undefined,0,0,1,1,0,1,1,0,0,0,1,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
lang\NumberRange.java,org.apache.commons.lang.NumberRange,21,2,2,10,10,7,88,55,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.2,0.972222222222222,0.964285714285714,1,10,1,1,0,1,1,0.111111111111111,0.659259259259259,0.977777777777778,0.9,1,0.888888888888889,-0.333333333333333,0.964285714285714,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,7,0,0,10,0
