relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn,bug
lang3\ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,1734,528,4,286,0.982835821,0,0,47,1,15,0.002509007,0,0,0.088846881,0.2,0.052264808,0.001265363,0,0,1581,1734,159,6,10,169,0.091695502,0.003460208,0.005767013,0.097462514,0
lang3\BitField.java,org.apache.commons.lang3.BitField,67,23,0,18,0.764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0
lang3\BooleanUtils.java,org.apache.commons.lang3.BooleanUtils,287,116,2,37,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,287,0,0,0,0,0,0,0,0,0
lang3\CharEncoding.java,org.apache.commons.lang3.CharEncoding,19,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0
lang3\CharRange.java,org.apache.commons.lang3.CharRange,146,25,1,15,0.753846154,0,0,2,1,3,0.044755245,0,0,0.076923077,0.5,0.1875,0.025518341,0,0,85,146,70,9,2,72,0.479452055,0.061643836,0.01369863,0.493150685,0
lang3\CharSet.java,org.apache.commons.lang3.CharSet,96,22,1,16,1.013888889,0,0,0,0,3,0,0,0,0,0,0.176470588,0,0,0,96,96,0,0,5,5,0,0,0.052083333,0.052083333,0
lang3\CharSetUtils.java,org.apache.commons.lang3.CharSetUtils,104,27,3,22,,0,0,0,0,3,0,0,0,0,0,0.130434783,0,0,0,104,104,0,0,0,0,0,0,0,0,0
lang3\CharUtils.java,org.apache.commons.lang3.CharUtils,144,39,1,24,1.027272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,144,0,0,0,0,0,0,0,0,0
lang3\ClassUtils.java,org.apache.commons.lang3.ClassUtils,463,124,4,104,0.978571429,0,0,4,1,1,0.007142857,0,0,0.032,0.2,0.00952381,0.003610108,0,0,450,463,14,1,9,23,0.030237581,0.002159827,0.019438445,0.049676026,0
lang3\EnumUtils.java,org.apache.commons.lang3.EnumUtils,29,8,0,5,,0,0,5,0,3,0,0,0,0.555555556,0,0.5,0,0,0,7,29,25,3,3,28,0.862068966,0.103448276,0.103448276,0.965517241,0
lang3\LocaleUtils.java,org.apache.commons.lang3.LocaleUtils,134,36,0,11,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,134,0,0,0,0,0,0,0,0,0
lang3\ObjectUtils.java,org.apache.commons.lang3.ObjectUtils,97,35,2,14,1.083333333,0,0,10,1,4,0.027777778,0,0,0.277777778,0.333333333,0.266666667,0.013333333,0,0,69,97,31,3,5,36,0.319587629,0.030927835,0.051546392,0.371134021,0
lang3\RandomStringUtils.java,org.apache.commons.lang3.RandomStringUtils,97,26,0,12,0.727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,0,0,0,0,0,0,0,0,0
lang3\SerializationException.java,org.apache.commons.lang3.SerializationException,15,4,0,4,1.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0
lang3\SerializationUtils.java,org.apache.commons.lang3.SerializationUtils,60,16,1,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0
lang3\StringEscapeUtils.java,org.apache.commons.lang3.StringEscapeUtils,156,13,9,16,1,0,0,8,6,18,1,0,0,0.571428571,0.6,1.058823529,0.5,0,0,65,147,106,24,24,130,0.721088435,0.163265306,0.163265306,0.884353741,0
lang3\StringUtils.java,org.apache.commons.lang3.StringUtils,1924,574,6,169,0.874734607,0,0,40,3,14,0.064862708,0,0,0.069565217,0.428571429,0.082352941,0.034598342,0,0,1792,1924,132,0,174,306,0.068607069,0,0.09043659,0.159043659,2
lang3\SystemUtils.java,org.apache.commons.lang3.SystemUtils,178,29,0,15,1.058270677,0,0,0,0,0,0.000355619,0,0,0,0,0,0.000172776,0,0,175,177,2,0,0,2,0.011299435,0,0,0.011299435,1
lang3\Validate.java,org.apache.commons.lang3.Validate,249,73,2,34,1,0,0,25,1,9,1,0,0,0.337837838,0.333333333,0.257142857,0.5,0,0,133,249,134,18,59,193,0.53815261,0.072289157,0.236947791,0.775100402,0
lang3\builder\CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,414,135,2,31,0.275862069,0,0,1,1,0,0,0,0,0.007352941,0.333333333,0,0,0,0,411,414,4,1,4,8,0.009661836,0.002415459,0.009661836,0.019323671,0
lang3\builder\EqualsBuilder.java,org.apache.commons.lang3.builder.EqualsBuilder,367,108,2,31,0.24137931,0,0,1,1,1,0.00862069,0,0,0.009174312,0.333333333,0.03125,0.006944444,0,0,369,367,3,5,2,5,0.008174387,0.013623978,0.005449591,0.013623978,0
lang3\builder\HashCodeBuilder.java,org.apache.commons.lang3.builder.HashCodeBuilder,279,78,3,38,0.60952381,0,0,3,1,1,0.008123249,0,0,0.037974684,0.25,0.025641026,0.005046989,0,0,264,279,23,8,6,29,0.082437276,0.028673835,0.021505376,0.103942652,0
lang3\builder\IDKey.java,org.apache.commons.lang3.builder.IDKey,23,5,0,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0
lang3\builder\ReflectionToStringBuilder.java,org.apache.commons.lang3.builder.ReflectionToStringBuilder,156,43,3,164,0.951923077,1,0,2,0,0,0,0,0,0.045454545,0,0,0,0,0,148,156,8,0,15,23,0.051282051,0,0.096153846,0.147435897,0
lang3\builder\StandardToStringStyle.java,org.apache.commons.lang3.builder.StandardToStringStyle,166,41,0,155,1.025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,166,166,0,0,0,0,0,0,0,0,0
lang3\builder\ToStringBuilder.java,org.apache.commons.lang3.builder.ToStringBuilder,267,68,3,152,0.586065574,0,1,0,0,0,0,0,0,0,0,0,0,0,0,267,267,6,6,57,63,0.02247191,0.02247191,0.213483146,0.235955056,0
