relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn,bug
lang3\AnnotationUtils.java,org.apache.commons.lang3.AnnotationUtils,210,54,3,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,210,0,0,0,0,0,0,0,0,0
lang3\ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,2035,603,6,321,0.984459459,0,0,83,1,22,0.001538667,0,0,0.137417219,0.142857143,0.068322981,0.000775358,0,0,1710,2035,325,0,0,325,0.15970516,0,0,0.15970516,0
lang3\BitField.java,org.apache.commons.lang3.BitField,67,23,0,18,0.764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0
lang3\BooleanUtils.java,org.apache.commons.lang3.BooleanUtils,363,128,2,40,,0,0,20,0,4,0,0,0,0.15503876,0,0.097560976,0,0,0,308,363,57,2,5,62,0.157024793,0.005509642,0.013774105,0.170798898,0
lang3\CharEncoding.java,org.apache.commons.lang3.CharEncoding,18,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0
lang3\CharRange.java,org.apache.commons.lang3.CharRange,150,25,1,15,0.753846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,150,4,0,0,4,0.026666667,0,0,0.026666667,0
lang3\CharSequenceUtils.java,org.apache.commons.lang3.CharSequenceUtils,69,21,0,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,0,0,1,1,0,0,0.014492754,0.014492754,0
lang3\CharSet.java,org.apache.commons.lang3.CharSet,91,21,1,14,1.017857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,91,0,0,1,1,0,0,0.010989011,0.010989011,0
lang3\CharSetUtils.java,org.apache.commons.lang3.CharSetUtils,75,21,2,19,,0,0,1,0,0,0,0,0,0.045454545,0,0,0,0,0,77,75,0,2,3,3,0,0.026666667,0.04,0.04,0
lang3\CharUtils.java,org.apache.commons.lang3.CharUtils,123,38,1,24,1.03030303,0,0,1,0,0,0.003030303,0,0,0.025641026,0,0,0.001492537,0,0,144,123,1,22,4,5,0.008130081,0.178861789,0.032520325,0.040650407,0
lang3\ClassUtils.java,org.apache.commons.lang3.ClassUtils,478,129,5,109,0.980769231,0,0,2,0,2,0.002338877,0,0,0.015384615,0,0.018181818,0.001180792,0,0,472,478,9,3,6,15,0.018828452,0.006276151,0.012552301,0.031380753,0
lang3\EnumUtils.java,org.apache.commons.lang3.EnumUtils,107,24,2,19,0.979166667,0,0,14,2,14,0.979166667,0,0,0.56,0.666666667,0.7,0.494736842,0,0,35,107,72,0,0,72,0.672897196,0,0,0.672897196,0
lang3\JavaVersion.java,org.apache.commons.lang3.JavaVersion,50,16,0,7,0.96969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0
lang3\LocaleUtils.java,org.apache.commons.lang3.LocaleUtils,126,30,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,0,0,5,5,0,0,0.03968254,0.03968254,2
lang3\ObjectUtils.java,org.apache.commons.lang3.ObjectUtils,215,71,5,40,1.033333333,0,0,22,3,22,0.029166667,0,0,0.305555556,0.5,0.536585366,0.014344262,0,0,149,215,66,0,6,72,0.306976744,0,0.027906977,0.334883721,0
lang3\RandomStringUtils.java,org.apache.commons.lang3.RandomStringUtils,107,29,0,12,0.727272727,0,0,3,0,0,0,0,0,0.1,0,0,0,0,0,96,107,11,0,9,20,0.102803738,0,0.08411215,0.186915888,2
lang3\Range.java,org.apache.commons.lang3.Range,182,47,1,24,0.775362319,0,0,5,0,1,0.004940711,0,0,0.104166667,0,0.04,0.002782931,0,0,169,182,13,0,1,14,0.071428571,0,0.005494505,0.076923077,0
lang3\SerializationException.java,org.apache.commons.lang3.SerializationException,15,4,0,4,1.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0
lang3\SerializationUtils.java,org.apache.commons.lang3.SerializationUtils,120,21,2,8,,0,0,5,1,2,0,0,0,0.227272727,0.333333333,0.222222222,0,0,0,62,120,58,0,8,66,0.483333333,0,0.066666667,0.55,1
lang3\StringEscapeUtils.java,org.apache.commons.lang3.StringEscapeUtils,159,13,10,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0
lang3\StringUtils.java,org.apache.commons.lang3.StringUtils,2024,601,4,173,0.909509202,0,0,9,0,1,0.062817252,0,0,0.014950166,0,0.005747126,0.032897067,0,0,2097,2024,9,82,57,66,0.00444664,0.040513834,0.028162055,0.032608696,1
lang3\SystemUtils.java,org.apache.commons.lang3.SystemUtils,142,19,1,15,1.067307692,0,0,0,0,0,0.000779626,0,0,0,0,0,0.000377121,0,0,136,142,6,0,1,7,0.042253521,0,0.007042254,0.049295775,0
lang3\Validate.java,org.apache.commons.lang3.Validate,238,75,2,34,1,0,0,2,0,0,0,0,0,0.026315789,0,0,0,0,0,237,238,2,1,7,9,0.008403361,0.004201681,0.029411765,0.037815126,0
lang3\builder\CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,413,135,2,31,0.275862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,413,1,0,0,1,0.002421308,0,0,0.002421308,0
lang3\builder\EqualsBuilder.java,org.apache.commons.lang3.builder.EqualsBuilder,412,116,4,40,0.636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,412,1,0,0,1,0.002427184,0,0,0.002427184,0
lang3\builder\HashCodeBuilder.java,org.apache.commons.lang3.builder.HashCodeBuilder,274,77,3,37,0.598039216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,274,1,0,18,19,0.003649635,0,0.065693431,0.069343066,0
lang3\builder\IDKey.java,org.apache.commons.lang3.builder.IDKey,23,5,0,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0
lang3\builder\ReflectionToStringBuilder.java,org.apache.commons.lang3.builder.ReflectionToStringBuilder,153,42,3,164,0.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,153,153,0,0,0,0,0,0,0,0,0
lang3\builder\StandardToStringStyle.java,org.apache.commons.lang3.builder.StandardToStringStyle,166,41,0,155,1.025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,166,166,0,0,0,0,0,0,0,0,0
lang3\builder\ToStringBuilder.java,org.apache.commons.lang3.builder.ToStringBuilder,271,69,3,153,0.592741935,0,1,0,0,0,0,0,0,0,0,0,0,0,0,270,271,1,0,0,1,0.003690037,0,0,0.003690037,0
lang3\builder\ToStringStyle.java,org.apache.commons.lang3.builder.ToStringStyle,787,209,8,114,0.977644311,0,6,0,0,0,0,0,0,0,0,0,0,0,0,787,787,0,0,0,0,0,0,0,0,0
