relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
math\ConvergenceException.java,org.apache.commons.math.ConvergenceException,4,5,1,17,4,6,15,10,2,2,2,0,0,0,4,13,0,2,3,5,1,0,0,0,0,0.5,-1,undefined,undefined,0,undefined,6,6,4,4,1.33333333333333,0.333333333333333,0,0,0,0,-1,undefined,0,0,4,440.603311357466,2,0,0,0,3,12,12,4,0,0,0,2,2,0,0,17,0
math\MathConfigurationException.java,org.apache.commons.math.MathConfigurationException,6,5,1,19,6,11,21,14,2,0,2,0,0,0,6,13,0,2,0,0,1,0,0,0,0,0.458333333333333,-0.3,undefined,undefined,0,undefined,15,15,6,4,1.2,0.45,0.133333333333333,0,0,0,-0.75,undefined,0,0,4,0,2,0,0,0,0,14,10,6,4,0,0,0,5,0,2,20,0
math\MathException.java,org.apache.commons.math.MathException,17,4,4,13,13,13,63,42,1,3,1,0,0,0,13,0,0,1,6,11,1,0,0,0,0,0.142857142857143,0.0757575757575758,0.194444444444444,0.194444444444444,0,0.166666666666667,62,46,6,5,0.791666666666667,0.743589743589744,0.217948717948718,0.269230769230769,0.333333333333333,0.0833333333333333,-0.733333333333334,0.166666666666667,0,0,0,3601.6679956191,2,1,0,0,14,0,0,0,0,0,1,0,10,1,0,13,0
math\MathRuntimeException.java,org.apache.commons.math.MathRuntimeException,28,4,4,24,24,36,201,113,1,1,1,0,0,0,24,0,0,1,1,1,1,0,0,0,0,0.1875,-0.0355731225296443,0.0368421052631579,0.0368421052631579,4,0.0315789473684211,264,252,18,16,0.91304347826087,0.755434782608696,0.0507246376811594,0.125,0.130434782608696,0.0434782608695652,-0.295154185022026,0.0315789473684211,0,1,0,1091.85346903219,2,1,0,0,0,0,0,0,0,0,1,0,25,86,0,24,0
math\MaxEvaluationsExceededException.java,org.apache.commons.math.MaxEvaluationsExceededException,3,7,2,20,3,4,16,11,3,0,3,0,0,0,3,17,0,3,0,0,1,0,0,0,0,0.444444444444444,1,1,1,0,1,0,0,1,1,0.75,0.333333333333333,1,0.5,1,0.5,0,1,0,0,1,0,2,0,0,0,0,3,3,1,0,0,0,0,0,1,0,20,0
math\analysis\FunctionUtils.java,org.apache.commons.math.analysis.FunctionUtils,9,0,0,9,9,15,78,52,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.388888888888889,-0.25,0,0,0,0,36,36,9,8,undefined,0.5,0.0277777777777778,undefined,0,0,-0.809523809523809,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0
math\analysis\function\Abs.java,org.apache.commons.math.analysis.function.Abs,1,0,0,1,1,1,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,1,2,0
math\analysis\function\Acos.java,org.apache.commons.math.analysis.function.Acos,1,0,0,1,1,1,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,1,5,0
math\analysis\function\Acosh.java,org.apache.commons.math.analysis.function.Acosh,1,0,0,1,1,1,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,1,5,0
math\analysis\function\Add.java,org.apache.commons.math.analysis.function.Add,1,0,0,1,1,2,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
