relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn,bug
math\ConvergenceException.java,org.apache.commons.math.ConvergenceException,15,4,2,17,1.333333333,2,3,0,2,1,0,0,1,0,0.666666667,0.055555556,0,0,0.25,15,15,0,0,4,4,0,0,0.266666667,0.266666667,0
math\MathConfigurationException.java,org.apache.commons.math.MathConfigurationException,21,6,2,20,1.2,2,0,2,2,4,0.133333333,0,0,0.285714286,0.666666667,0.19047619,0.060606061,0,0,15,21,6,0,0,6,0.285714286,0,0,0.285714286,0
math\MathException.java,org.apache.commons.math.MathException,63,17,2,13,0.791666667,1,6,0,2,1,0.064393939,0,7,0,0.666666667,0.071428571,0.035940803,0,1,63,63,7,7,17,24,0.111111111,0.111111111,0.26984127,0.380952381,0
math\MathRuntimeException.java,org.apache.commons.math.MathRuntimeException,201,28,2,24,0.913043478,1,1,1,2,0,0.014492754,0,2,0.034482759,0.666666667,0,0.007575758,0,1,216,201,8,23,36,44,0.039800995,0.114427861,0.179104478,0.218905473,0
math\MaxEvaluationsExceededException.java,org.apache.commons.math.MaxEvaluationsExceededException,16,3,2,20,0.75,3,0,0,2,1,0,0,0,0,0.666666667,0.047619048,0,0,0,16,16,0,0,2,2,0,0,0.125,0.125,0
math\analysis\integration\LegendreGaussIntegrator.java,org.apache.commons.math.analysis.integration.LegendreGaussIntegrator,112,11,7,34,0.85,1,0,1,2,6,0.05,1,0,0.083333333,0.25,0.171428571,0.027027027,0.5,0,119,112,0,7,30,30,0,0.0625,0.267857143,0.267857143,0
math\analysis\integration\RombergIntegrator.java,org.apache.commons.math.analysis.integration.RombergIntegrator,48,8,7,30,,1,0,2,2,1,0,1,0,0.222222222,0.25,0.032258065,0,0.5,0,58,48,0,10,6,6,0,0.208333333,0.125,0.125,0
math\analysis\integration\SimpsonIntegrator.java,org.apache.commons.math.analysis.integration.SimpsonIntegrator,44,8,7,30,,1,0,2,2,1,0,1,0,0.222222222,0.25,0.032258065,0,0.5,0,54,44,0,10,6,6,0,0.227272727,0.136363636,0.136363636,0
math\analysis\integration\TrapezoidIntegrator.java,org.apache.commons.math.analysis.integration.TrapezoidIntegrator,55,10,6,29,1,1,0,2,2,1,0,1,0,0.181818182,0.285714286,0.033333333,0,0.5,0,65,55,0,10,7,7,0,0.181818182,0.127272727,0.127272727,0
math\analysis\integration\UnivariateRealIntegratorImpl.java,org.apache.commons.math.analysis.integration.UnivariateRealIntegratorImpl,83,21,3,24,0.890625,0,4,7,1,1,0.057291667,1,0,0.318181818,0.25,0.04,0.03030303,1,0,72,83,25,14,17,42,0.301204819,0.168674699,0.204819277,0.506024096,0
