"moduleName","avg_SLOC","avg_WMC","avg_CBO","avg_RFC","avg_LCOM5","avg_DIT","avg_NOC","avg_delta_WMC","avg_delta_CBO","avg_delta_RFC","avg_delta_LCOM5","avg_delta_DIT","avg_delta_NOC","avg_X.WMC","avg_X.CBO","avg_X.RFC","avg_X.LCOM5","avg_X.DIT","avg_X.NOC","avg_addedsloc","avg_deletedsloc","avg_changedsloc","avg_churnsloc","avg_X.added","avg_X.deleted","avg_X.changed","avg_X.churn","max_SLOC","max_WMC","max_CBO","max_RFC","max_LCOM5","max_DIT","max_NOC","max_delta_WMC","max_delta_CBO","max_delta_RFC","max_delta_LCOM5","max_delta_DIT","max_delta_NOC","max_X.WMC","max_X.CBO","max_X.RFC","max_X.LCOM5","max_X.DIT","max_X.NOC","max_addedsloc","max_deletedsloc","max_changedsloc","max_churnsloc","max_X.added","max_X.deleted","max_X.changed","max_X.churn","sum_SLOC","sum_WMC","sum_CBO","sum_RFC","sum_LCOM5","sum_DIT","sum_NOC","sum_delta_WMC","sum_delta_CBO","sum_delta_RFC","sum_delta_LCOM5","sum_delta_DIT","sum_delta_NOC","sum_X.WMC","sum_X.CBO","sum_X.RFC","sum_X.LCOM5","sum_X.DIT","sum_X.NOC","sum_addedsloc","sum_deletedsloc","sum_changedsloc","sum_churnsloc","sum_X.added","sum_X.deleted","sum_X.changed","sum_X.churn","bug"
"org.apache.commons.math",63.2,11.6,2,18.8,0.9976086956,1.8,2,0.6,2,1.4,0.0424440052,0,2,0.064039409,0.666666667,0.073015873,0.0208245244,0,0.45,4.2,6,11.8,16,0.0873252784,0.0451077944,0.168122483,0.2554477614,201,28,2,24,1.333333333,3,6,2,2,4,0.133333333,0,7,0.285714286,0.666666667,0.19047619,0.060606061,0,1,8,23,36,44,0.285714286,0.114427861,0.26984127,0.380952381,316,58,10,94,4.988043478,9,10,3,10,7,0.212220026,0,10,0.320197045,3.333333335,0.365079365,0.104122622,0,2.25,21,30,59,80,0.436626392,0.225538972,0.840612415,1.277238807,0
"org.apache.commons.math.analysis",78,9,4,9,NA,0,0,9,4,9,NA,0,0,1,1,1,1,1,1,78,0,0,78,1,0,0,1,78,9,4,9,NA,0,0,9,4,9,NA,0,0,1,1,1,1,1,1,78,0,0,78,1,0,0,1,78,9,4,9,NA,0,0,9,4,9,NA,0,0,1,1,1,1,1,1,78,0,0,78,1,0,0,1,0
"org.apache.commons.math.analysis.function",12.1333333333333,1.68888888888889,0.955555555555556,4.64444444444444,NA,0,0,1.68888888888889,0.955555555555556,4.64444444444444,NA,0,0,1,1,1,1,1,1,12.1333333333333,0,0,12.1333333333333,1,0,0,1,85,7,4,19,NA,0,0,7,4,19,NA,0,0,1,1,1,1,1,1,85,0,0,85,1,0,0,1,546,76,43,209,NA,0,0,76,43,209,NA,0,0,45,45,45,45,45,45,546,0,0,546,45,0,0,45,0
"org.apache.commons.math.analysis.integration",68.4,11.6,6,29.4,NA,0.8,0.8,2.8,1.8,2,0.0214583334,1,0,0.2055555554,0.2571428572,0.0618556068,0.0114660114,0.6,0,5,10.2,13.2,18.2,0.0602409638,0.1697197882,0.1722625566,0.2325035204,112,21,7,34,NA,1,4,7,2,6,0.057291667,1,0,0.318181818,0.285714286,0.171428571,0.03030303,1,0,25,14,30,42,0.301204819,0.227272727,0.267857143,0.506024096,342,58,30,147,NA,4,4,14,9,10,0.107291667,5,0,1.027777777,1.285714286,0.309278034,0.057330057,3,0,25,51,66,91,0.301204819,0.848598941,0.861312783,1.162517602,0
"org.apache.commons.math.analysis.interpolation",87.9333333333333,16.4,4.93333333333333,24.6666666666667,NA,0.0666666666666667,0.0666666666666667,12.6666666666667,3.73333333333333,20.8,NA,0.0666666666666667,0.0666666666666667,0.669215686266667,0.741366041333333,0.8199284594,0.605095238066667,0.6,0.6,63.6666666666667,4.13333333333333,3.46666666666667,67.1333333333333,0.620784313733333,0.0823933419333333,0.0611829346666667,0.6819672484,260,40,10,49,NA,1,1,40,8,49,NA,1,1,1,1,1,1,1,1,260,32,27,260,1,0.566666667,0.233333333,1,1319,246,74,370,NA,1,1,190,56,312,NA,1,1,10.038235294,11.12049062,12.298926891,9.076428571,9,9,955,62,52,1007,9.311764706,1.235900129,0.91774402,10.229508726,0
"org.apache.commons.math.analysis.polynomials",113,22.4,5,22.8,0.6930555556,0,0,1.2,2.4,8.4,0.0339285714,0,0,0.0587301586,0.3804761906,0.3430502646,0.0223179724,0,0,9.8,8.4,19.8,29.6,0.0673304264,0.0947351422,0.1564772518,0.2238076782,192,44,7,29,1,0,0,3,4,14,0.087301587,0,0,0.2,0.666666667,0.466666667,0.062857143,0,0,31,19,61,92,0.161458333,0.25,0.317708333,0.479166667,565,112,25,114,3.465277778,0,0,6,12,42,0.169642857,0,0,0.293650793,1.902380953,1.715251323,0.111589862,0,0,49,42,99,148,0.336652132,0.473675711,0.782386259,1.119038391,0
"org.apache.commons.math.analysis.solvers",72.3157894736842,13.7368421052632,2.84210526315789,55.3684210526316,NA,1.68421052631579,0.842105263157895,11.4210526315789,2.52631578947368,40.1052631578947,NA,0.947368421052632,0.842105263157895,0.814833885,0.924966261842105,0.742625199157895,0.758771929789474,0.578947368421053,0.578947368421053,44.3684210526316,17.6842105263158,17.1052631578947,61.4736842105263,0.647263393578947,0.220944065052632,0.213905413789474,0.861168807315789,201,41,12,80,NA,3,8,41,7,68,NA,3,8,1.25,2,1,1,1,1,201,99,83,201,1,0.9,0.744680851,1,1374,261,54,1052,NA,32,16,217,48,762,NA,18,16,15.481843815,17.574358975,14.109878784,14.416666666,11,11,843,336,325,1168,12.298004478,4.197937236,4.064202862,16.362207339,5
"org.apache.commons.math.complex",137,33.5,5,32.75,NA,0,0,4.25,2.75,12,0.02198691025,0.5,0,0.0548245615,0.373809524,0.30083333325,0.0122441195,0.5,0,25.5,9,36.75,62.25,0.1015540015,0.0473193475,0.173847449,0.2754014505,351,89,8,74,NA,0,0,15,6,34,0.062158167,2,0,0.166666667,0.666666667,0.583333333,0.035643145,2,0,66,27,109,175,0.218181818,0.163636364,0.310541311,0.498575499,548,134,20,131,NA,0,0,17,11,48,0.087947641,2,0,0.219298246,1.495238096,1.203333333,0.048976478,2,0,102,36,147,249,0.406216006,0.18927739,0.695389796,1.101605802,4
"org.apache.commons.math.dfp",552,120.2,3.4,80.6,NA,0.2,0.2,120.2,3.4,80.6,NA,0.2,0.2,1,1,1,1,1,1,552,0,0,552,1,0,0,1,1512,351,8,89,NA,1,1,351,8,89,NA,1,1,1,1,1,1,1,1,1512,0,0,1512,1,0,0,1,2760,601,17,403,NA,1,1,601,17,403,NA,1,1,5,5,5,5,5,5,2760,0,0,2760,5,0,0,5,1
"org.apache.commons.math.distribution",101.368421052632,22.8947368421053,5.94736842105263,60.3684210526316,0.900294663894737,1.57894736842105,0.842105263157895,7.36842105263158,3.15789473684211,35.7368421052632,0.158868730210526,0,0,0.299774181842105,0.431334016894737,0.591435996157895,0.113938126631579,0.0526315789473684,0.0526315789473684,41,10.5263157894737,13.4736842105263,54.4736842105263,0.405395105894737,0.0996075340526316,0.130377724684211,0.535772830421053,140,32,11,79,1.025,2,9,32,11,57,0.975,0,0,1,1,1,1,1,1,120,36,30,120,1,0.257142857,0.214285714,1,1926,435,113,1147,17.105598614,30,16,140,60,679,3.018505874,0,0,5.695709455,8.195346321,11.237283927,2.164824406,1,1,779,200,256,1035,7.702507012,1.892543147,2.477176769,10.179683778,2
