relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
time\Chronology.java,org.joda.time.Chronology,49,0,0,49,49,34,55,50,0,5,0,133,0,133,49,0,0,0,1,17,0,0,2,0,2,0.0680272108843537,-0.0425531914893617,0,0,0,0,1176,1176,49,49,undefined,0.874433106575964,0,undefined,0,0,-0.679012345679008,0,0,0,0,7833.01650387102,5,0,3,25,54,0,0,0,0,13,0,162,38,507,0,49,0
time\DateMidnight.java,org.joda.time.DateMidnight,84,4,1,132,64,68,343,236,3,0,3,1,1,0,63,68,1,3,0,0,1,0.0227272727272727,0,0,0,0.0807291666666667,-0.0138248847926267,0.44,0.44,78,0,2016,2016,64,28,1.01587301587302,0.872850529100529,0.0178571428571429,0,0,0,-0.502183406113538,0,0,0,85,0,17,0,0,0,0,304,121,173,183,0,0,5,31,4,88,460,0
time\DateTime.java,org.joda.time.DateTime,132,4,1,166,101,138,572,351,3,0,3,4,4,0,97,65,4,3,0,0,1,0.072289156626506,0,0,0,0.0726072607260726,-0.0094949494949495,0.389656185718484,0.389656185718484,111,0,5050,5050,101,48,1.01,0.895181518151815,0.0104950495049505,0,0,0,-0.286470143612999,0,0,0,145,0,20,0,0,0,0,533,229,291,304,2,0,28,46,26,146,493,0
time\DateTimeComparator.java,org.joda.time.DateTimeComparator,27,6,6,13,13,8,93,62,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0.192307692307692,0.318181818181818,0.381818181818182,0.454545454545455,10,0.454545454545455,48,18,3,1,0.805555555555555,0.666666666666667,0.423076923076923,0.256410256410256,1,0.583333333333333,-1,0.381818181818182,0,0,0,0,5,5,0,0,0,27,0,17,27,0,2,0,8,0,17,26,0
time\DateTimeConstants.java,org.joda.time.DateTimeConstants,1,40,40,1,1,0,44,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,undefined,undefined,0,undefined,0,0,1,1,0,,1,0,0,0,,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
time\DateTimeField.java,org.joda.time.DateTimeField,50,0,0,50,50,77,52,51,0,4,0,487,0,487,50,0,0,0,3,32,0,0,91,0,91,0.233333333333333,-0.0416666666666667,0,0,0,0,1225,1225,50,50,undefined,0.665850340136054,0,undefined,0,0,-0.767250257466529,0,0,0,0,17974.3920405596,3,0,3,22,160,0,0,0,0,39,0,43,31,327,0,50,0
time\DateTimeFieldType.java,org.joda.time.DateTimeFieldType,30,48,48,30,30,3,297,160,0,1,0,3,0,3,30,0,0,0,1,1,0,0,0,0,0,0.05,-0.0640394088669951,0.00246305418719212,0.00246305418719212,3,0.00246305418719212,434,433,29,27,1.01652298850575,0.902298850574713,0.00689655172413793,0.0173611111111111,0.0689655172413793,0.0689655172413793,0,0.00246305418719212,0,0,0,306.867580547155,4,24,0,0,0,1,0,1,1,11,1,76,8,234,1,31,0
time\DateTimeUtils.java,org.joda.time.DateTimeUtils,39,2,2,18,18,16,158,110,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0.0757575757575758,-0.00735294117647059,0.175,0.175,6,0.175,143,133,14,11,0.852941176470588,0.854426619132502,0.104575163398693,0.194444444444444,0.352941176470588,0.176470588235294,-0.666666666666651,0.175,0,0,0,0,17,1,0,0,0,23,0,16,23,0,1,0,12,188,16,211,0
time\DateTimeZone.java,org.joda.time.DateTimeZone,128,10,10,47,47,52,539,383,0,1,0,30,0,30,47,0,0,0,4,4,0,0,6,0,6,0.0613266583229036,0.0357487922705314,0.277777777777778,0.6,116,0.438095238095238,1041,1001,32,2,0.96304347826087,0.89367143712249,0.0767807585568918,0.0574468085106383,0.673913043478261,0.5,-0.57172557172557,0.179365079365079,0,0,0,14039.3896691262,19,7,1,3,15,65,0,26,65,2,5,91,30,95,25,308,2
time\Days.java,org.joda.time.Days,45,14,12,42,26,17,153,102,1,0,1,2,2,0,24,16,2,1,0,0,1,0.0476190476190476,0,0,0,0.0824175824175824,-0.0266666666666667,0.282608695652174,0.282608695652174,26,0.282608695652174,319,313,23,12,0.993333333333333,0.853626373626374,0.0523076923076923,0.0448717948717949,0.52,0,-0.111111111111109,0.282608695652174,0,0,25,0,19,11,0,0,0,81,37,48,44,0,1,6,7,6,23,300,0
