relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn,bug
time\Chronology.java,org.joda.time.Chronology,55,49,5,49,,0,1,18,6,154,0,0,0,0.36,1,3.08,0,0,0,109,55,0,54,0,0,0,0.981818182,0,0,0
time\DateMidnight.java,org.joda.time.DateMidnight,343,84,17,460,1.015873016,3,0,2,3,59,0.000520427,0,0,0.023529412,0.166666667,0.127982646,0.000258164,0,0,336,343,7,0,0,7,0.020408163,0,0,0.020408163,0
time\DateTime.java,org.joda.time.DateTime,572,132,20,493,1.01,3,0,10,2,67,0.001111111,0,0,0.07518797,0.095238095,0.13562753,0.000552792,0,0,498,572,74,0,0,74,0.129370629,0,0,0.129370629,0
time\DateTimeComparator.java,org.joda.time.DateTimeComparator,96,27,5,26,0.805555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,0,0,1,1,0,0,0.010752688,0.010752688,0
time\DateTimeConstants.java,org.joda.time.DateTimeConstants,44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0
time\DateTimeField.java,org.joda.time.DateTimeField,52,50,3,50,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,0,0
time\DateTimeFieldType.java,org.joda.time.DateTimeFieldType,297,30,4,31,1.016522989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,283,297,14,0,0,14,0.047138047,0,0,0.047138047,0
time\DateTimeUtils.java,org.joda.time.DateTimeUtils,158,39,17,211,0.852941176,0,0,4,0,54,0.01372549,0,0,0.1,0,0.254716981,0.007407407,0,0,143,158,15,0,9,24,0.094936709,0,0.056962025,0.151898734,0
time\DateTimeZone.java,org.joda.time.DateTimeZone,539,128,19,308,0.963043478,0,4,16,1,10,0.001679842,0,0,0.124031008,0.05,0.03236246,0.000855733,0,0,492,539,65,18,47,112,0.120593692,0.033395176,0.087198516,0.207792208,2
time\Days.java,org.joda.time.Days,153,45,19,300,0.993333333,1,0,0,0,51,0,0,0,0,0,0.169435216,0,0,0,151,153,2,0,0,2,0.013071895,0,0,0.013071895,0
time\Duration.java,org.joda.time.Duration,121,36,7,285,0.94,2,0,9,3,66,0.001176471,0,0,0.243243243,0.375,0.230769231,0.000606428,0,0,90,121,31,0,0,31,0.256198347,0,0,0.256198347,0
time\DurationField.java,org.joda.time.DurationField,32,22,1,20,,0,4,1,0,1,0,0,0,0.043478261,0,0.047619048,0,0,0,33,32,0,1,1,1,0,0.03125,0.03125,0.03125,0
time\DurationFieldType.java,org.joda.time.DurationFieldType,148,17,3,18,1.028846154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,148,148,0,0,0,0,0,0,0,0,0
time\Hours.java,org.joda.time.Hours,156,46,19,300,0.993846154,1,0,0,0,51,0,0,0,0,0,0.169435216,0,0,0,154,156,2,0,0,2,0.012820513,0,0,0.012820513,0
time\IllegalFieldValueException.java,org.joda.time.IllegalFieldValueException,166,27,2,21,0.641975309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,166,166,0,0,0,0,0,0,0,0,0
time\Instant.java,org.joda.time.Instant,75,22,10,315,0.916666667,1,0,2,2,66,0.010416667,0,0,0.086956522,0.181818182,0.208860759,0.005434783,0,0,68,75,7,0,0,7,0.093333333,0,0,0.093333333,0
time\Interval.java,org.joda.time.Interval,137,35,7,316,1.043478261,2,0,1,0,38,0.001976285,0,0,0.027777778,0,0.119873817,0.000967118,0,0,134,137,3,0,0,3,0.02189781,0,0,0.02189781,0
time\JodaTimePermission.java,org.joda.time.JodaTimePermission,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0
time\LocalDate.java,org.joda.time.LocalDate,606,148,22,443,0.975543478,2,0,12,0,44,0.001816056,0,0,0.080536913,0,0.099099099,0.000919269,0,0,555,604,49,0,5,54,0.081125828,0,0.008278146,0.089403974,0
time\LocalDateTime.java,org.joda.time.LocalDateTime,682,167,19,467,0.977040816,2,0,10,0,49,0.001795163,0,0,0.05952381,0,0.104700855,0.000908005,0,0,639,680,41,0,3,44,0.060294118,0,0.004411765,0.064705882,0
time\LocalTime.java,org.joda.time.LocalTime,485,111,16,408,0.972649573,2,0,4,0,54,0.002260822,0,0,0.035714286,0,0.13202934,0.001146084,0,0,468,483,15,0,5,20,0.031055901,0,0.010351967,0.041407867,0
