relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
lang3\ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,1707,519,23,298,0.982835821,1,0,9,0,0,0,0,0,0.017307692,0,0,0,0,0,1734,1707,0,27,10,10,0,0.015817223,0.005858231,0.005858231,0
lang3\BitField.java,org.apache.commons.lang3.BitField,67,23,0,29,0.764705882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0
lang3\BooleanUtils.java,org.apache.commons.lang3.BooleanUtils,315,116,7,47,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,287,315,82,54,2,84,0.26031746,0.171428571,0.006349206,0.266666667,0
lang3\CharEncoding.java,org.apache.commons.lang3.CharEncoding,19,3,3,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0
lang3\CharRange.java,org.apache.commons.lang3.CharRange,146,25,7,23,0.753846154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,146,146,0,0,0,0,0,0,0,0,0
lang3\CharSequenceUtils.java,org.apache.commons.lang3.CharSequenceUtils,5,2,1,12,,1,0,2,0,1,0,0,0,0.666666667,0,0.076923077,0,0,0,8,5,0,3,0,0,0,0.6,0,0,0
lang3\CharSet.java,org.apache.commons.lang3.CharSet,96,22,8,24,1.013888889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96,0,0,1,1,0,0,0.010416667,0.010416667,0
lang3\CharSetUtils.java,org.apache.commons.lang3.CharSetUtils,104,27,5,33,,1,0,0,0,1,0,0,0,0,0,0.029411765,0,0,0,104,104,0,0,0,0,0,0,0,0,0
lang3\CharUtils.java,org.apache.commons.lang3.CharUtils,144,39,5,35,1.027272727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,144,144,0,0,0,0,0,0,0,0,0
lang3\ClassUtils.java,org.apache.commons.lang3.ClassUtils,460,123,32,116,0.982142857,1,0,1,1,1,0.003571429,0,0,0.008064516,0.03030303,0.008547009,0.001801802,0,0,463,460,0,3,3,3,0,0.006521739,0.006521739,0.006521739,0
lang3\EnumUtils.java,org.apache.commons.lang3.EnumUtils,29,8,9,16,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0
