relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
lang3\ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,1577,480,22,270,0.985260115606936,1,0,1,0,14,8.47119792704021e-005,0,0,0.00207900207900208,0,0.0516605166051661,4.26704685217049e-005,0,0,1576,1577,5,4,75,80,0.00317057704502219,0.00253646163601776,0.0475586556753329,0.0507292327203551,2
lang3\BitField.java,org.apache.commons.lang3.BitField,67,23,0,29,0.764705882352941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0
lang3\BooleanUtils.java,org.apache.commons.lang3.BooleanUtils,287,116,7,48,undefined,1,0,2,0,1,0,0,0,0.0170940170940171,0,0.0204081632653061,0,0,0,289,287,1,3,2,3,0.00348432055749129,0.0104529616724739,0.00696864111498258,0.0104529616724739,0
lang3\CharEncoding.java,org.apache.commons.lang3.CharEncoding,19,3,3,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0
lang3\CharRange.java,org.apache.commons.lang3.CharRange,146,25,7,23,0.753846153846154,1,0,2,3,3,0.0447552447552448,0,0,0.0769230769230769,0.375,0.125,0.025518341307815,0,0,85,146,77,16,4,81,0.527397260273973,0.10958904109589,0.0273972602739726,0.554794520547945,0
lang3\CharSet.java,org.apache.commons.lang3.CharSet,96,22,8,24,1.01388888888889,1,0,0,1,1,0,0,0,0,0.111111111111111,0.04,0,0,0,94,96,3,1,8,11,0.03125,0.0104166666666667,0.0833333333333333,0.114583333333333,0
lang3\CharSetUtils.java,org.apache.commons.lang3.CharSetUtils,104,27,5,32,undefined,1,0,7,0,2,0,0,0,0.25,0,0.0606060606060606,0,0,0,132,104,0,28,2,2,0,0.269230769230769,0.0192307692307692,0.0192307692307692,0
lang3\CharUtils.java,org.apache.commons.lang3.CharUtils,144,39,5,35,1.02727272727273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,144,144,0,0,0,0,0,0,0,0,0
lang3\ClassUtils.java,org.apache.commons.lang3.ClassUtils,431,114,30,114,0.989285714285714,1,0,28,1,11,0.00450310559006206,0,0,0.243478260869565,0.032258064516129,0.0956521739130435,0.0022636796503005,0,0,342,431,103,14,70,173,0.238979118329466,0.0324825986078886,0.162412993039443,0.40139211136891,2
lang3\Entities.java,org.apache.commons.lang3.Entities,577,31,8,22,1.025,1,0,0,1,2,0,0,0,0,0.111111111111111,0.0869565217391304,0,0,0,577,577,0,0,1,1,0,0,0.00173310225303293,0.00173310225303293,1
lang3\EnumUtils.java,org.apache.commons.lang3.EnumUtils,29,8,9,16,undefined,1,0,2,2,7,0,0,0,0.222222222222222,0.2,0.411764705882353,0,0,0,20,29,10,1,11,21,0.344827586206897,0.0344827586206897,0.379310344827586,0.724137931034483,0
lang3\LocaleUtils.java,org.apache.commons.lang3.LocaleUtils,134,36,11,22,0.95,1,0,6,0,2,0.075,0,0,0.162162162162162,0,0.0869565217391304,0.0384615384615384,0,0,124,134,17,7,24,41,0.126865671641791,0.0522388059701493,0.17910447761194,0.305970149253731,0
lang3\NumberUtils.java,org.apache.commons.lang3.NumberUtils,328,94,11,31,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,328,328,0,0,0,0,0,0,0,0,1
lang3\ObjectUtils.java,org.apache.commons.lang3.ObjectUtils,76,28,8,22,1.1,1,0,3,1,1,0.0111111111111111,0,0,0.103448275862069,0.111111111111111,0.0434782608695652,0.00529100529100527,0,0,68,76,12,4,8,20,0.157894736842105,0.0526315789473684,0.105263157894737,0.263157894736842,0
lang3\RandomStringUtils.java,org.apache.commons.lang3.RandomStringUtils,97,26,5,23,0.727272727272727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,0,0,0,0,0,0,0,0,0
lang3\SerializationException.java,org.apache.commons.lang3.SerializationException,15,4,1,44,1.33333333333333,4,0,0,0,35,0,1,0,0,0,0.777777777777778,0,0.2,0,15,15,0,0,1,1,0,0,0.0666666666666667,0.0666666666666667,0
lang3\SerializationUtils.java,org.apache.commons.lang3.SerializationUtils,60,16,11,18,undefined,1,0,0,0,1,0,0,0,0,0,0.0526315789473684,0,0,0,60,60,0,0,0,0,0,0,0,0,0
lang3\StringEscapeUtils.java,org.apache.commons.lang3.StringEscapeUtils,346,92,12,49,0.979166666666667,1,0,17,0,3,0.979166666666667,0,0,0.182795698924731,0,0.06,0.494736842105263,0,0,277,346,69,0,9,78,0.199421965317919,0,0.0260115606936416,0.225433526011561,1
