relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
lang3\ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,1707,519,23,298,0.982835820895522,1,0,9,0,0,0,0,0,0.0173076923076923,0,0,0,0,0,1734,1707,0,27,10,10,0,0.015817223198594,0.00585823081429408,0.00585823081429408,0
lang3\BitField.java,org.apache.commons.lang3.BitField,67,23,0,29,0.764705882352941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0
lang3\BooleanUtils.java,org.apache.commons.lang3.BooleanUtils,315,116,7,47,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,287,315,82,54,2,84,0.26031746031746,0.171428571428571,0.00634920634920635,0.266666666666667,0
lang3\CharEncoding.java,org.apache.commons.lang3.CharEncoding,19,3,3,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0
lang3\CharRange.java,org.apache.commons.lang3.CharRange,146,25,7,23,0.753846153846154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,146,146,0,0,0,0,0,0,0,0,0
lang3\CharSequenceUtils.java,org.apache.commons.lang3.CharSequenceUtils,5,2,1,12,undefined,1,0,2,0,1,0,0,0,0.666666666666667,0,0.0769230769230769,0,0,0,8,5,0,3,0,0,0,0.6,0,0,0
lang3\CharSet.java,org.apache.commons.lang3.CharSet,96,22,8,24,1.01388888888889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96,0,0,1,1,0,0,0.0104166666666667,0.0104166666666667,0
lang3\CharSetUtils.java,org.apache.commons.lang3.CharSetUtils,104,27,5,33,undefined,1,0,0,0,1,0,0,0,0,0,0.0294117647058824,0,0,0,104,104,0,0,0,0,0,0,0,0,0
lang3\CharUtils.java,org.apache.commons.lang3.CharUtils,144,39,5,35,1.02727272727273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,144,144,0,0,0,0,0,0,0,0,0
lang3\ClassUtils.java,org.apache.commons.lang3.ClassUtils,460,123,32,116,0.982142857142857,1,0,1,1,1,0.00357142857142856,0,0,0.00806451612903226,0.0303030303030303,0.00854700854700855,0.0018018018018018,0,0,463,460,0,3,3,3,0,0.00652173913043478,0.00652173913043478,0.00652173913043478,0
lang3\EnumUtils.java,org.apache.commons.lang3.EnumUtils,29,8,9,16,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0
lang3\LocaleUtils.java,org.apache.commons.lang3.LocaleUtils,136,36,11,22,0.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,134,136,2,0,2,4,0.0147058823529412,0,0.0147058823529412,0.0294117647058824,0
lang3\ObjectUtils.java,org.apache.commons.lang3.ObjectUtils,140,46,16,28,1.06666666666667,1,0,11,1,3,0.0166666666666666,0,0,0.234042553191489,0.0588235294117647,0.103448275862069,0.00806451612903223,0,0,97,140,43,0,23,66,0.307142857142857,0,0.164285714285714,0.471428571428571,0
lang3\Pair.java,org.apache.commons.lang3.Pair,37,7,6,26,0.583333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,0,0,0
lang3\RandomStringUtils.java,org.apache.commons.lang3.RandomStringUtils,97,26,5,23,0.727272727272727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,0,0,0,0,0,0,0,0,0
lang3\Range.java,org.apache.commons.lang3.Range,159,33,8,27,0.843137254901961,1,0,0,0,0,0,0,0,0,0,0,0,0,0,159,159,0,0,1,1,0,0,0.00628930817610063,0.00628930817610063,0
