relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
math3\analysis\FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils,432,25,15,42,,1,0,9,6,9,0,0,0,0.346153846,0.375,0.209302326,0,0,0,169,432,263,0,10,273,0.608796296,0,0.023148148,0.631944444,0
math3\analysis\function\Abs.java,org.apache.commons.math3.analysis.function.Abs,5,1,1,13,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Acos.java,org.apache.commons.math3.analysis.function.Acos,12,3,4,25,,1,0,1,3,9,0,0,0,0.25,0.6,0.346153846,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Acosh.java,org.apache.commons.math3.analysis.function.Acosh,12,3,4,24,,1,0,1,3,7,0,0,0,0.25,0.6,0.28,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Add.java,org.apache.commons.math3.analysis.function.Add,5,1,0,12,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Asin.java,org.apache.commons.math3.analysis.function.Asin,12,3,4,24,,1,0,1,3,8,0,0,0,0.25,0.6,0.32,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Asinh.java,org.apache.commons.math3.analysis.function.Asinh,12,3,4,24,,1,0,1,3,7,0,0,0,0.25,0.6,0.28,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Atan.java,org.apache.commons.math3.analysis.function.Atan,12,3,4,23,,1,0,1,3,8,0,0,0,0.25,0.6,0.333333333,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Atan2.java,org.apache.commons.math3.analysis.function.Atan2,5,1,1,16,,1,0,0,0,2,0,0,0,0,0,0.117647059,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Atanh.java,org.apache.commons.math3.analysis.function.Atanh,12,3,4,23,,1,0,1,3,7,0,0,0,0.25,0.6,0.291666667,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Cbrt.java,org.apache.commons.math3.analysis.function.Cbrt,12,3,4,27,,1,0,1,3,13,0,0,0,0.25,0.6,0.464285714,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Ceil.java,org.apache.commons.math3.analysis.function.Ceil,5,1,1,14,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Constant.java,org.apache.commons.math3.analysis.function.Constant,16,4,3,29,0.333333333,1,0,1,3,15,0.166666667,0,0,0.2,0.75,0.5,0.125,0,0,12,16,4,0,3,7,0.25,0,0.1875,0.4375,0
math3\analysis\function\Cos.java,org.apache.commons.math3.analysis.function.Cos,12,3,4,31,,1,0,1,3,12,0,0,0,0.25,0.6,0.375,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Cosh.java,org.apache.commons.math3.analysis.function.Cosh,12,3,4,25,,1,0,1,2,9,0,0,0,0.25,0.4,0.346153846,0,0,0,8,12,4,0,3,7,0.333333333,0,0.25,0.583333333,0
math3\analysis\function\Divide.java,org.apache.commons.math3.analysis.function.Divide,5,1,0,12,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Exp.java,org.apache.commons.math3.analysis.function.Exp,12,3,4,22,,1,0,1,3,7,0,0,0,0.25,0.6,0.304347826,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Expm1.java,org.apache.commons.math3.analysis.function.Expm1,12,3,4,24,,1,0,1,3,8,0,0,0,0.25,0.6,0.32,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Floor.java,org.apache.commons.math3.analysis.function.Floor,5,1,1,13,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Gaussian.java,org.apache.commons.math3.analysis.function.Gaussian,108,14,8,39,0.75,1,0,7,5,11,0.05,0,0,0.466666667,0.555555556,0.275,0.028571429,0,0,73,108,45,10,8,53,0.416666667,0.092592593,0.074074074,0.490740741,0
math3\analysis\function\HarmonicOscillator.java,org.apache.commons.math3.analysis.function.HarmonicOscillator,68,7,4,42,0.5,1,0,3,3,21,0.166666667,0,0,0.375,0.6,0.488372093,0.111111111,0,0,51,68,21,4,5,26,0.308823529,0.058823529,0.073529412,0.382352941,0
math3\analysis\function\Identity.java,org.apache.commons.math3.analysis.function.Identity,12,3,3,15,,1,0,1,2,1,0,0,0,0.25,0.5,0.0625,0,0,0,8,12,4,0,3,7,0.333333333,0,0.25,0.583333333,0
math3\analysis\function\Inverse.java,org.apache.commons.math3.analysis.function.Inverse,12,3,3,22,,1,0,1,3,9,0,0,0,0.25,0.75,0.391304348,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Log.java,org.apache.commons.math3.analysis.function.Log,12,3,4,22,,1,0,1,3,7,0,0,0,0.25,0.6,0.304347826,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Log10.java,org.apache.commons.math3.analysis.function.Log10,12,3,4,23,,1,0,1,3,8,2,0,0,0.25,0.6,0.333333333,2,0,0,13,12,1,2,5,6,0.083333333,0.166666667,0.416666667,0.5,0
math3\analysis\function\Log1p.java,org.apache.commons.math3.analysis.function.Log1p,12,3,4,22,,1,0,1,3,7,0,0,0,0.25,0.6,0.304347826,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Logistic.java,org.apache.commons.math3.analysis.function.Logistic,90,6,5,44,0.5,1,0,1,3,17,0.166666667,0,0,0.142857143,0.5,0.377777778,0.111111111,0,0,85,90,14,9,6,20,0.155555556,0.1,0.066666667,0.222222222,0
math3\analysis\function\Logit.java,org.apache.commons.math3.analysis.function.Logit,83,12,6,36,0.6,1,0,6,4,11,0.15,0,0,0.461538462,0.571428571,0.297297297,0.09375,0,0,50,83,37,4,7,44,0.445783133,0.048192771,0.084337349,0.530120482,0
math3\analysis\function\Max.java,org.apache.commons.math3.analysis.function.Max,5,1,1,13,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Min.java,org.apache.commons.math3.analysis.function.Min,5,1,1,13,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Minus.java,org.apache.commons.math3.analysis.function.Minus,12,3,3,18,,1,0,1,2,4,0,0,0,0.25,0.5,0.210526316,0,0,0,8,12,4,0,3,7,0.333333333,0,0.25,0.583333333,0
math3\analysis\function\Multiply.java,org.apache.commons.math3.analysis.function.Multiply,5,1,0,12,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Pow.java,org.apache.commons.math3.analysis.function.Pow,5,1,1,15,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Power.java,org.apache.commons.math3.analysis.function.Power,16,4,4,24,0.333333333,1,0,1,3,7,0.166666667,0,0,0.2,0.6,0.28,0.125,0,0,16,16,1,1,5,6,0.0625,0.0625,0.3125,0.375,0
math3\analysis\function\Rint.java,org.apache.commons.math3.analysis.function.Rint,5,1,1,14,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Sigmoid.java,org.apache.commons.math3.analysis.function.Sigmoid,77,10,6,34,0.6,1,0,5,5,16,0.15,0,0,0.454545455,0.714285714,0.457142857,0.09375,0,0,51,77,35,9,5,40,0.454545455,0.116883117,0.064935065,0.519480519,0
math3\analysis\function\Signum.java,org.apache.commons.math3.analysis.function.Signum,5,1,1,13,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Sin.java,org.apache.commons.math3.analysis.function.Sin,12,3,4,31,,1,0,1,2,12,0,0,0,0.25,0.4,0.375,0,0,0,8,12,4,0,3,7,0.333333333,0,0.25,0.583333333,0
math3\analysis\function\Sinc.java,org.apache.commons.math3.analysis.function.Sinc,79,18,4,43,0.625,1,0,8,2,18,0.075,0,0,0.421052632,0.4,0.409090909,0.046153846,0,0,42,79,37,0,25,62,0.46835443,0,0.316455696,0.784810127,0
math3\analysis\function\Sinh.java,org.apache.commons.math3.analysis.function.Sinh,12,3,4,25,,1,0,1,2,8,0,0,0,0.25,0.4,0.307692308,0,0,0,8,12,4,0,3,7,0.333333333,0,0.25,0.583333333,0
math3\analysis\function\Sqrt.java,org.apache.commons.math3.analysis.function.Sqrt,12,3,4,27,,1,0,1,3,13,0,0,0,0.25,0.6,0.464285714,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
