relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
math\ArgumentOutsideDomainException.java,org.apache.commons.math.ArgumentOutsideDomainException,7,1,0,55,0,5,0,0,1,1,0,0,0,0,1,0.0178571428571429,0,0,0,8,7,0,1,1,1,0,0.142857142857143,0.142857142857143,0.142857142857143,0
math\ConvergenceException.java,org.apache.commons.math.ConvergenceException,15,4,1,48,1.33333333333333,4,4,2,0,4,0.133333333333333,0,3,0.4,0,0.0816326530612245,0.0571428571428571,0,0.6,21,15,0,6,5,5,0,0.4,0.333333333333333,0.333333333333333,0
math\DimensionMismatchException.java,org.apache.commons.math.DimensionMismatchException,16,3,0,47,0.833333333333333,4,0,0,1,2,0,0,0,0,1,0.0416666666666667,0,0,0,19,16,0,3,1,1,0,0.1875,0.0625,0.0625,0
math\DuplicateSampleAbscissaException.java,org.apache.commons.math.DuplicateSampleAbscissaException,10,2,1,46,2,4,0,0,1,2,0,0,0,0,0.5,0.0425531914893617,0,0,0,10,10,0,0,1,1,0,0,0.1,0.1,0
math\FunctionEvaluationException.java,org.apache.commons.math.FunctionEvaluationException,45,9,2,54,0.5625,4,1,2,0,1,0.0208333333333334,0,0,0.2,0,0.0181818181818182,0.0133333333333334,0,0,36,45,12,3,20,32,0.266666666666667,0.0666666666666667,0.444444444444444,0.711111111111111,0
math\MathConfigurationException.java,org.apache.commons.math.MathConfigurationException,15,4,1,48,1.33333333333333,4,0,2,0,4,0.133333333333333,0,0,0.4,0,0.0816326530612245,0.0571428571428571,0,0,21,15,0,6,4,4,0,0.4,0.266666666666667,0.266666666666667,0
math\MathException.java,org.apache.commons.math.MathException,64,17,9,44,0.727272727272727,3,13,4,2,2,0.0788497217068644,0,1,0.222222222222222,0.2,0.0444444444444444,0.0456498388829215,0,0.0714285714285714,103,64,5,44,15,20,0.078125,0.6875,0.234375,0.3125,0
math\MaxIterationsExceededException.java,org.apache.commons.math.MaxIterationsExceededException,16,3,1,51,0.75,5,0,0,1,4,0,0,1,0,0.5,0.0769230769230769,0,0,1,17,16,0,1,6,6,0,0.0625,0.375,0.375,0
math\MessagesResources_fr.java,org.apache.commons.math.MessagesResources_fr,524,2,1,34,1,3,0,0,1,0,0,0,0,0,0.5,0,0,0,0,81,524,443,0,30,473,0.845419847328244,0,0.0572519083969466,0.902671755725191,0
math\analysis\BrentSolver.java,org.apache.commons.math.analysis.BrentSolver,132,23,6,16,1.33333333333333,2,0,0,1,26,0,0,0,0,0.142857142857143,1.52941176470588,0,0,0,128,132,4,0,9,13,0.0303030303030303,0,0.0681818181818182,0.0984848484848485,1
math\complex\Complex.java,org.apache.commons.math.complex.Complex,248,65,5,43,0.741071428571429,1,0,1,0,0,0.0369897959183674,0,0,0.0151515151515152,0,0,0.0212454212454213,0,0,246,248,5,3,3,8,0.0201612903225806,0.0120967741935484,0.0120967741935484,0.032258064516129,1
math\complex\ComplexFormat.java,org.apache.commons.math.complex.ComplexFormat,232,51,12,50,0.97037037037037,2,0,0,0,0,0,0,0,0,0,0,0,0,0,231,232,1,0,1,2,0.00431034482758621,0,0.00431034482758621,0.00862068965517241,1
math\complex\ComplexUtils.java,org.apache.commons.math.complex.ComplexUtils,12,3,3,17,undefined,1,0,14,0,39,0,0,0,3.5,0,2.16666666666667,0,0,0,54,12,0,42,2,2,0,3.5,0.166666666666667,0.166666666666667,0
math\distribution\AbstractContinuousDistribution.java,org.apache.commons.math.distribution.AbstractContinuousDistribution,47,9,6,27,1.25,2,9,0,0,3,0,0,1,0,0,0.107142857142857,0,0,0.1,46,47,1,0,2,3,0.0212765957446809,0,0.0425531914893617,0.0638297872340425,0
math\distribution\AbstractDistribution.java,org.apache.commons.math.distribution.AbstractDistribution,16,3,2,16,2,1,2,0,0,3,0,0,0,0,0,0.176470588235294,0,0,0,15,16,1,0,2,3,0.0625,0,0.125,0.1875,0
math\distribution\AbstractIntegerDistribution.java,org.apache.commons.math.distribution.AbstractIntegerDistribution,77,19,4,24,1.125,2,5,3,1,3,0.0178571428571428,0,1,0.15,0.2,0.12,0.00840336134453779,0,0.166666666666667,60,77,17,0,4,21,0.220779220779221,0,0.051948051948052,0.272727272727273,0
math\distribution\BinomialDistributionImpl.java,org.apache.commons.math.distribution.BinomialDistributionImpl,79,17,7,48,0.962962962962963,3,0,0,1,3,0,0,0,0,0.125,0.0612244897959184,0,0,0,73,79,6,0,2,8,0.0759493670886076,0,0.0253164556962025,0.10126582278481,0
math\distribution\CauchyDistributionImpl.java,org.apache.commons.math.distribution.CauchyDistributionImpl,80,19,4,38,0.833333333333333,3,0,0,1,3,0,0,0,0,0.2,0.0769230769230769,0,0,0,76,80,4,0,4,8,0.05,0,0.05,0.1,0
math\distribution\ChiSquaredDistributionImpl.java,org.apache.commons.math.distribution.ChiSquaredDistributionImpl,67,16,5,42,0.954545454545455,3,0,1,1,2,0.0454545454545454,0,0,0.0588235294117647,0.166666666666667,0.0465116279069767,0.0232558139534884,0,0,60,67,7,0,0,7,0.104477611940299,0,0,0.104477611940299,0
math\distribution\ExponentialDistributionImpl.java,org.apache.commons.math.distribution.ExponentialDistributionImpl,67,16,5,36,1,3,0,2,1,2,0,0,0,0.117647058823529,0.166666666666667,0.0540540540540541,0,0,0,56,67,11,0,3,14,0.164179104477612,0,0.0447761194029851,0.208955223880597,0
math\distribution\FDistributionImpl.java,org.apache.commons.math.distribution.FDistributionImpl,68,15,4,49,0.962962962962963,3,0,0,0,1,0,0,0,0,0,0.02,0,0,0,66,68,2,0,2,4,0.0294117647058824,0,0.0294117647058824,0.0588235294117647,1
math\distribution\GammaDistributionImpl.java,org.apache.commons.math.distribution.GammaDistributionImpl,81,19,6,51,0.966666666666667,3,0,2,2,2,0.00370370370370365,0,0,0.1,0.285714285714286,0.0384615384615385,0.00188323917137474,0,0,69,81,12,0,2,14,0.148148148148148,0,0.0246913580246914,0.17283950617284,0
