relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
math\ConvergenceException.java,org.apache.commons.math.ConvergenceException,21,6,1,52,1.2,4,1,2,0,9,0.133333333333333,0,1,0.285714285714286,0,0.169811320754717,0.0606060606060606,0,0.5,15,21,6,0,9,15,0.285714285714286,0,0.428571428571429,0.714285714285714,0
math\FunctionEvaluationException.java,org.apache.commons.math.FunctionEvaluationException,36,7,2,53,0.583333333333333,4,1,3,0,10,0.416666666666667,0,1,0.375,0,0.185185185185185,0.263157894736842,0,0.5,18,36,18,0,6,24,0.5,0,0.166666666666667,0.666666666666667,0
math\MathConfigurationException.java,org.apache.commons.math.MathConfigurationException,21,6,1,52,1.2,4,0,2,0,9,0.133333333333333,0,0,0.285714285714286,0,0.169811320754717,0.0606060606060606,0,0,17,21,6,2,9,15,0.285714285714286,0.0952380952380952,0.428571428571429,0.714285714285714,0
math\MathException.java,org.apache.commons.math.MathException,103,21,11,46,0.806122448979592,3,12,11,5,7,0.0867346938775512,0,9,0.5,0.416666666666667,0.148936170212766,0.0480225988700566,0,0.692307692307692,53,103,50,0,1,51,0.485436893203884,0,0.00970873786407767,0.495145631067961,0
math\analysis\BisectionSolver.java,org.apache.commons.math.analysis.BisectionSolver,36,6,5,42,1.5,2,0,0,0,2,0,0,0,0,0,0.0465116279069767,0,0,0,37,36,0,1,4,4,0,0.0277777777777778,0.111111111111111,0.111111111111111,0
math\analysis\BrentSolver.java,org.apache.commons.math.analysis.BrentSolver,128,23,5,42,1.33333333333333,2,0,7,0,3,0.166666666666667,0,0,0.291666666666667,0,0.0697674418604651,0.0714285714285715,0,0,102,128,30,4,11,41,0.234375,0.03125,0.0859375,0.3203125,0
math\analysis\NewtonSolver.java,org.apache.commons.math.analysis.NewtonSolver,35,6,9,43,0.833333333333333,2,0,0,0,2,0,0,0,0,0,0.0454545454545455,0,0,0,36,35,0,1,4,4,0,0.0285714285714286,0.114285714285714,0.114285714285714,0
math\analysis\PolynomialFunction.java,org.apache.commons.math.analysis.PolynomialFunction,54,14,2,19,0.785714285714286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0,0,0
math\analysis\PolynomialSplineFunction.java,org.apache.commons.math.analysis.PolynomialSplineFunction,70,17,5,29,0.642857142857143,1,0,0,0,2,0,0,0,0,0,0.0666666666666667,0,0,0,70,70,0,0,3,3,0,0,0.0428571428571429,0.0428571428571429,0
math\analysis\SecantSolver.java,org.apache.commons.math.analysis.SecantSolver,68,11,5,41,1.5,2,0,0,0,2,0,0,0,0,0,0.0476190476190476,0,0,0,68,68,0,0,3,3,0,0,0.0441176470588235,0.0441176470588235,0
