relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
math\ArgumentOutsideDomainException.java,org.apache.commons.math.ArgumentOutsideDomainException,7,1,0,54,0,5,0,0,0,1,0,0,0,0,0,0.0181818181818182,0,0,0,7,7,0,0,0,0,0,0,0,0,0
math\ConvergenceException.java,org.apache.commons.math.ConvergenceException,15,4,1,47,1.33333333333333,4,4,0,0,1,0,0,0,0,0,0.0208333333333333,0,0,0,15,15,0,0,0,0,0,0,0,0,0
math\ConvergingAlgorithmImpl.java,org.apache.commons.math.ConvergingAlgorithmImpl,49,11,0,22,0.814285714285714,1,3,0,0,0,0,0,0,0,0,0,0,0,0,49,49,0,0,0,0,0,0,0,0,0
math\DimensionMismatchException.java,org.apache.commons.math.DimensionMismatchException,16,3,0,46,0.833333333333333,4,0,0,0,1,0,0,0,0,0,0.0212765957446809,0,0,0,16,16,2,2,1,3,0.125,0.125,0.0625,0.1875,0
math\DuplicateSampleAbscissaException.java,org.apache.commons.math.DuplicateSampleAbscissaException,10,2,1,45,2,4,0,0,0,1,0,0,0,0,0,0.0217391304347826,0,0,0,10,10,0,0,0,0,0,0,0,0,0
math\FunctionEvaluationException.java,org.apache.commons.math.FunctionEvaluationException,47,9,2,53,0.666666666666667,4,1,0,0,1,0.104166666666667,0,0,0,0,0.0185185185185185,0.0625,0,0,45,47,2,0,2,4,0.0425531914893617,0,0.0425531914893617,0.0851063829787234,0
math\MathConfigurationException.java,org.apache.commons.math.MathConfigurationException,15,4,1,47,1.33333333333333,4,0,0,0,1,0,0,0,0,0,0.0208333333333333,0,0,0,15,15,0,0,0,0,0,0,0,0,0
math\MathException.java,org.apache.commons.math.MathException,63,17,10,43,0.727272727272727,3,13,0,1,1,0,0,0,0,0.0909090909090909,0.0227272727272727,0,0,0,64,63,15,16,3,18,0.238095238095238,0.253968253968254,0.0476190476190476,0.285714285714286,0
math\MathRuntimeException.java,org.apache.commons.math.MathRuntimeException,216,29,19,60,0.898550724637681,4,3,1,0,0,0.00461133069828723,0,0,0.0333333333333333,0,0,0.00242886884108259,0,0,173,216,59,16,11,70,0.273148148148148,0.0740740740740741,0.0509259259259259,0.324074074074074,0
math\MaxEvaluationsExceededException.java,org.apache.commons.math.MaxEvaluationsExceededException,16,3,1,50,0.75,5,0,0,0,1,0,0,0,0,0,0.0196078431372549,0,0,0,16,16,0,0,0,0,0,0,0,0,0
math\MaxIterationsExceededException.java,org.apache.commons.math.MaxIterationsExceededException,16,3,1,50,0.75,5,0,0,0,1,0,0,0,0,0,0.0196078431372549,0,0,0,16,16,0,0,0,0,0,0,0,0,0
math\MessagesResources_fr.java,org.apache.commons.math.MessagesResources_fr,526,2,1,34,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,524,526,24,22,26,50,0.0456273764258555,0.0418250950570342,0.0494296577946768,0.0950570342205323,0
math\analysis\integration\LegendreGaussIntegrator.java,org.apache.commons.math.analysis.integration.LegendreGaussIntegrator,119,12,8,39,0.9,3,0,0,0,2,0,0,0,0,0,0.05,0,0,0,119,119,0,0,0,0,0,0,0,0,0
math\analysis\integration\RombergIntegrator.java,org.apache.commons.math.analysis.integration.RombergIntegrator,58,10,9,42,undefined,3,0,0,0,2,0,0,0,0,0,0.0465116279069767,0,0,0,55,58,5,2,12,17,0.0862068965517241,0.0344827586206897,0.206896551724138,0.293103448275862,0
math\analysis\integration\SimpsonIntegrator.java,org.apache.commons.math.analysis.integration.SimpsonIntegrator,54,10,9,42,undefined,3,0,0,0,2,0,0,0,0,0,0.0465116279069767,0,0,0,57,54,0,3,7,7,0,0.0555555555555556,0.12962962962963,0.12962962962963,0
math\analysis\integration\TrapezoidIntegrator.java,org.apache.commons.math.analysis.integration.TrapezoidIntegrator,65,12,8,41,1,3,0,0,0,2,0,0,0,0,0,0.0476190476190476,0,0,0,69,65,1,5,8,9,0.0153846153846154,0.0769230769230769,0.123076923076923,0.138461538461538,0
math\analysis\integration\UnivariateRealIntegratorImpl.java,org.apache.commons.math.analysis.integration.UnivariateRealIntegratorImpl,72,14,5,34,0.833333333333333,2,4,0,0,2,0,0,0,0,0,0.0571428571428571,0,0,0,72,72,0,0,4,4,0,0,0.0555555555555556,0.0555555555555556,0
math\analysis\interpolation\DividedDifferenceInterpolator.java,org.apache.commons.math.analysis.interpolation.DividedDifferenceInterpolator,31,5,4,18,2,1,0,2,0,2,0,0,0,0.333333333333333,0,0.105263157894737,0,0,0,41,31,0,10,12,12,0,0.32258064516129,0.387096774193548,0.387096774193548,0
