relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
math3\analysis\FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils,433,25,15,42,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,432,433,1,0,3,4,0.0023094688221709,0,0.0069284064665127,0.0092378752886836,0
math3\analysis\differentiation\DSCompiler.java,org.apache.commons.math3.analysis.differentiation.DSCompiler,829,180,10,115,0.894021739130435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,829,829,0,0,0,0,0,0,0,0,1
math3\analysis\differentiation\DerivativeStructure.java,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,557,105,12,209,0.55,1,0,22,4,19,0.0752525252525252,0,0,0.207547169811321,0.307692307692308,0.0904761904761905,0.0485500162919518,0,0,412,557,145,0,23,168,0.26032315978456,0,0.0412926391382406,0.301615798922801,0
math3\analysis\differentiation\FiniteDifferencesDifferentiator.java,org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator,150,15,12,50,0.928571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0
math3\analysis\differentiation\GradientFunction.java,org.apache.commons.math3.analysis.differentiation.GradientFunction,21,4,2,40,0,1,0,0,1,0,0,0,0,0,0.333333333333333,0,0,0,0,22,21,0,1,1,1,0,0.0476190476190476,0.0476190476190476,0.0476190476190476,0
math3\analysis\differentiation\JacobianFunction.java,org.apache.commons.math3.analysis.differentiation.JacobianFunction,23,5,2,40,0,1,0,0,1,0,0,0,0,0,0.333333333333333,0,0,0,0,24,23,0,1,1,1,0,0.0434782608695652,0.0434782608695652,0.0434782608695652,0
math3\analysis\function\Abs.java,org.apache.commons.math3.analysis.function.Abs,5,1,1,13,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Acos.java,org.apache.commons.math3.analysis.function.Acos,12,3,4,25,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Acosh.java,org.apache.commons.math3.analysis.function.Acosh,12,3,4,24,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Add.java,org.apache.commons.math3.analysis.function.Add,5,1,0,12,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Asin.java,org.apache.commons.math3.analysis.function.Asin,12,3,4,24,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Asinh.java,org.apache.commons.math3.analysis.function.Asinh,12,3,4,24,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Atan.java,org.apache.commons.math3.analysis.function.Atan,12,3,4,23,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Atan2.java,org.apache.commons.math3.analysis.function.Atan2,5,1,1,16,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Atanh.java,org.apache.commons.math3.analysis.function.Atanh,12,3,4,23,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Cbrt.java,org.apache.commons.math3.analysis.function.Cbrt,12,3,4,27,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Ceil.java,org.apache.commons.math3.analysis.function.Ceil,5,1,1,14,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Constant.java,org.apache.commons.math3.analysis.function.Constant,16,4,2,28,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0
math3\analysis\function\Cos.java,org.apache.commons.math3.analysis.function.Cos,12,3,4,31,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Cosh.java,org.apache.commons.math3.analysis.function.Cosh,12,3,4,24,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Divide.java,org.apache.commons.math3.analysis.function.Divide,5,1,0,12,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Exp.java,org.apache.commons.math3.analysis.function.Exp,12,3,4,22,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Expm1.java,org.apache.commons.math3.analysis.function.Expm1,12,3,4,24,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Floor.java,org.apache.commons.math3.analysis.function.Floor,5,1,1,13,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Gaussian.java,org.apache.commons.math3.analysis.function.Gaussian,109,14,9,39,0.75,1,0,0,1,0,0,0,0,0,0.1,0,0,0,0,108,109,1,0,1,2,0.00917431192660551,0,0.00917431192660551,0.018348623853211,0
