relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
time\Chronology.java,org.joda.time.Chronology,55,49,6,59,undefined,1,1,18,6,154,0,0,0,0.36,0.857142857142857,2.56666666666667,0,0,0,109,55,0,54,0,0,0,0.981818181818182,0,0,0
time\DateMidnight.java,org.joda.time.DateMidnight,343,84,19,460,1.01587301587302,4,0,2,4,53,0.000520426749935021,0,0,0.0235294117647059,0.2,0.114967462039046,0.000258164450755168,0,0,336,343,7,0,0,7,0.0204081632653061,0,0,0.0204081632653061,0
time\DateTime.java,org.joda.time.DateTime,572,132,22,492,1.01,4,0,10,3,60,0.00111111111111106,0,0,0.075187969924812,0.130434782608696,0.121703853955375,0.000552791597567693,0,0,498,572,74,0,0,74,0.129370629370629,0,0,0.129370629370629,0
time\DateTimeComparator.java,org.joda.time.DateTimeComparator,96,27,6,34,0.805555555555555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,0,0,1,1,0,0,0.010752688172043,0.010752688172043,0
time\DateTimeConstants.java,org.joda.time.DateTimeConstants,44,1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0
time\DateTimeField.java,org.joda.time.DateTimeField,52,50,5,60,undefined,1,3,0,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,0,0
time\DateTimeFieldType.java,org.joda.time.DateTimeFieldType,297,30,5,41,1.01652298850575,1,1,0,0,0,0,0,0,0,0,0,0,0,0,283,297,14,0,0,14,0.0471380471380471,0,0,0.0471380471380471,0
time\DateTimeUtils.java,org.joda.time.DateTimeUtils,158,39,26,219,0.852941176470588,1,0,4,5,51,0.0137254901960785,0,0,0.1,0.185185185185185,0.231818181818182,0.00740740740740744,0,0,143,158,15,0,9,24,0.0949367088607595,0,0.0569620253164557,0.151898734177215,0
time\DateTimeZone.java,org.joda.time.DateTimeZone,520,122,40,316,0.962222222222222,1,4,10,0,9,0.000858585858585892,0,0,0.0813008130081301,0,0.028391167192429,0.000437557912076615,0,0,492,520,42,14,38,80,0.0807692307692308,0.0269230769230769,0.0730769230769231,0.153846153846154,2
time\Days.java,org.joda.time.Days,153,45,21,305,0.993333333333333,2,0,0,0,48,0,0,0,0,0,0.156862745098039,0,0,0,151,153,2,0,0,2,0.0130718954248366,0,0,0.0130718954248366,0
