relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
chart\BufferedImageRenderingSource.java,org.jfree.chart.BufferedImageRenderingSource,7,2,2,4,4,4,27,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.333333333333333,-0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,4,2,2,2,0.666666666666667,0.444444444444444,0.333333333333333,0.5,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0,0,3,2,0,0,0,5,0,3,5,0,2,0,2,1,3,7,0
chart\ChartColor.java,org.jfree.chart.ChartColor,2,24,24,2,2,3,67,29,1,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0.5,0,1,1,0,1,1,1,2,2,1,0,0,0.5,0,0,0,1,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
chart\ChartFactory.java,org.jfree.chart.ChartFactory,73,1,1,40,40,185,703,467,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0.163157894736842,0.898785425101215,1,1,0,1,77,0,3,1,0.0512820512820513,0.879082321187584,0.903846153846154,0.95,1,1,0.477715003138731,1,0,0,0,0,90,0,0,0,0,828,0,332,828,0,0,0,135,4,332,383,0
chart\ChartFrame.java,org.jfree.chart.ChartFrame,4,1,1,3,3,5,20,13,1,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0.555555555555556,0,1,1,0,1,2,1,2,1,0.5,0.333333333333333,0.666666666666667,0.666666666666667,1,1,-1,1,0,0,0,0,2,1,0,0,0,2,0,1,2,0,1,0,5,0,1,23,0
chart\ChartMouseEvent.java,org.jfree.chart.ChartMouseEvent,4,4,4,4,4,3,22,16,1,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0.25,0,0,0,0,0,3,0,1,1,0.833333333333333,0.5,0.5,0.375,1,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,6,1,0,4,0
chart\ChartPanel.java,org.jfree.chart.ChartPanel,263,80,80,123,123,133,1329,917,1,1,1,2,0,2,123,0,0,1,1,1,1,0,2,0,2,0.0246612466124661,0.0681479474325972,0.109257714762302,0.793327773144287,95,0.793327773144287,6916,6329,15,6,0.978995901639344,0.953618552578968,0.0833000133280021,0.0289634146341463,0.926229508196721,0.655737704918033,-0.735261401557282,0.109257714762302,0,0,0,9925.34728253302,28,46,0,0,11,192,0,106,192,2,46,4,69,60,106,224,0
chart\ChartRenderingInfo.java,org.jfree.chart.ChartRenderingInfo,22,5,5,14,14,7,82,58,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.371794871794872,0.444444444444444,0.644444444444444,0,0.644444444444444,50,9,3,2,0.769230769230769,0.836996336996337,0.461538461538462,0.285714285714286,0.846153846153846,0.615384615384615,0,0.444444444444444,0,0,0,0,7,2,0,0,0,19,0,8,19,2,2,28,5,55,8,19,0
chart\ChartTransferable.java,org.jfree.chart.ChartTransferable,14,8,8,7,7,25,93,62,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.371428571428571,0.0666666666666667,1,1,8,1,17,13,4,1,0.8125,0.523809523809524,0.333333333333333,0.303571428571429,0.833333333333333,0.166666666666667,-0.538461538461538,1,0,0,0,0,1,2,0,0,0,6,0,2,6,0,2,0,9,1,2,58,0
chart\ChartUtilities.java,org.jfree.chart.ChartUtilities,44,0,0,27,27,115,246,121,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0.290123456790123,-0.0369230769230769,0.0341880341880342,0.0341880341880342,34,0,351,351,27,13,undefined,0.658594491927825,0.0398860398860399,undefined,0,0,-0.511470985155196,0,0,0,0,0,12,0,0,0,0,92,0,24,92,0,0,0,63,3,24,94,0
chart\JFreeChart.java,org.jfree.chart.JFreeChart,159,22,22,70,70,76,702,475,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0.0298701298701299,0.0984654731457801,0.462841530054645,0.934972677595628,95,0.934972677595628,2156,1897,19,3,0.9433465085639,0.94271911663216,0.124223602484472,0.0701298701298701,0.942028985507246,0.942028985507246,-0.81180223285486,0.462841530054645,0,0,0,0,36,15,0,0,0,180,0,78,180,7,15,99,65,123,78,156,0
chart\JFreeChart.java,org.jfree.chart.JFreeChartInfo,4,10,0,32,2,0,129,21,3,0,3,1,1,0,1,30,1,3,0,0,1,0.09375,0,0,0,,0,1,1,0,1,1,1,2,2,undefined,,0,undefined,0,0,,1,0,0,6,0,3,0,0,0,0,300,11,104,289,0,0,0,0,0,98,48,0
chart\LegendItem.java,org.jfree.chart.LegendItem,99,26,26,56,56,97,452,290,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0.0726190476190476,0.0861952861952862,0.0664451827242525,0.740863787375415,2,0.740863787375415,1359,1178,6,4,0.927972027972028,0.875108225108225,0.118831168831169,0.0885989010989011,0.8,0.4,-0.714285714285712,0.0664451827242525,0,0,0,0,9,17,0,0,0,83,0,32,83,0,17,6,98,155,32,78,0
chart\LegendItemCollection.java,org.jfree.chart.LegendItemCollection,11,2,2,8,8,4,40,28,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.125,1,1,1,0,1,0,0,1,1,0.571428571428571,0.75,1,0.5,1,1,0,1,0,0,0,0,2,1,0,0,0,2,0,1,2,2,1,8,3,36,1,10,0
