relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
jscomp\AbstractCommandLineRunner.java,com.google.javascript.jscomp.AbstractCommandLineRunner,133,7,7,35,35,43,773,541,0,1,0,1,0,1,35,0,0,0,1,1,0,0,0,0,0,0.0742857142857143,0.188948306595365,0.25,0.357142857142857,102,0.357142857142857,478,361,17,1,0.899159663865546,0.865994397759104,0.235294117647059,0.126530612244898,0.676470588235294,0.647058823529412,-0.760299625468168,0.25,0,0,0,4047.11034471956,21,6,0,0,7,165,0,89,165,0,6,0,61,0,89,324,0
jscomp\AbstractCompiler.java,com.google.javascript.jscomp.AbstractCompiler,36,1,1,36,36,18,40,38,0,2,0,36,0,36,36,0,0,0,1,2,0,0,0,0,0,0.0555555555555556,-0.0588235294117647,0,0,0,0,630,630,36,36,1.02857142857143,0.896428571428571,0,0,0,0,-0.214285714285702,0,0,0,0,660.801603858167,16,1,0,0,0,0,0,0,0,114,1,161,28,265,0,36,0
jscomp\AbstractMessageFormatter.java,com.google.javascript.jscomp.AbstractMessageFormatter,9,3,3,6,6,6,45,27,0,1,0,0,0,0,6,0,0,0,2,2,0,0,0,0,0,0.2,-0.2,0.333333333333333,0.333333333333333,6,0.333333333333333,13,11,4,3,0.866666666666667,0.626666666666667,0.2,0.277777777777778,0.4,0.4,0,0.333333333333333,0,0,0,338.822589179384,3,1,0,0,8,2,0,2,2,0,1,0,6,0,2,7,0
jscomp\AliasExternals.java,com.google.javascript.jscomp.AliasExternals,43,16,16,16,16,28,353,239,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0.229166666666667,0.39047619047619,1,1,47,1,73,26,5,1,0.941666666666667,0.713888888888889,0.466666666666667,0.1171875,0.866666666666667,0.666666666666667,-0.296703296703297,1,0,0,0,0,13,13,0,0,0,141,0,62,141,0,13,0,30,0,62,86,0
jscomp\AliasKeywords.java,com.google.javascript.jscomp.AliasKeywords,18,10,10,8,8,7,189,138,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.1875,0.142857142857143,1,1,6,1,20,12,3,1,0.928571428571429,0.678571428571429,0.357142857142857,0.1875,1,0.857142857142857,1,1,0,0,0,0,8,8,0,0,0,27,0,14,27,0,8,0,7,0,14,61,0
jscomp\AliasStrings.java,com.google.javascript.jscomp.AliasStrings,48,11,11,11,10,17,263,177,1,0,1,0,0,0,10,1,0,1,0,0,1,0,0,0,0,0.166666666666667,0.361111111111111,1,1,14,1,28,11,3,1,0.909090909090909,0.716049382716049,0.488888888888889,0.181818181818182,0.777777777777778,0.555555555555556,-0.466666666666665,1,0,0,0,0,9,9,0,0,0,61,0,32,61,0,9,0,17,0,32,86,0
jscomp\AmbiguateProperties.java,com.google.javascript.jscomp.AmbiguateProperties,39,13,13,11,11,13,378,259,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0.155844155844156,0.133333333333333,1,1,19,1,40,25,1,1,0.923076923076923,0.745454545454545,0.290909090909091,0.160839160839161,1,0.6,0.2,1,0,0,0,0,23,12,0,0,0,88,0,56,88,0,12,0,16,0,56,93,0
jscomp\AnalyzeNameReferences.java,com.google.javascript.jscomp.AnalyzeNameReferences,5,3,3,4,4,4,79,53,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.25,0.333333333333333,1,1,2,1,2,0,1,1,0.666666666666667,0.5,0.666666666666667,0.5,1,1,0,1,0,0,0,0,12,3,0,0,0,13,0,7,13,0,3,0,6,3,7,87,0
jscomp\AnalyzePrototypeProperties.java,com.google.javascript.jscomp.AnalyzePrototypeProperties,11,14,14,4,4,8,419,266,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.25,0.333333333333333,0,0,3,0,2,0,1,1,0.833333333333333,0.5,0.666666666666667,0.375,1,0.333333333333333,0,0,0,0,0,0,12,12,0,0,0,33,0,14,33,1,12,0,8,6,14,68,0
jscomp\AnonymousFunctionNamingCallback.java,com.google.javascript.jscomp.AnonymousFunctionNamingCallback,14,1,1,4,3,6,57,41,1,0,1,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0.416666666666667,1,1,1,3,1,0,0,1,1,0,0.333333333333333,1,1,1,1,0,1,0,0,0,0,4,0,0,0,0,18,0,18,18,0,0,0,5,3,18,9,0
