"moduleName","avg_SLOC","avg_WMC","avg_CBO","avg_RFC","avg_LCOM5","avg_DIT","avg_NOC","avg_delta_WMC","avg_delta_CBO","avg_delta_RFC","avg_delta_LCOM5","avg_delta_DIT","avg_delta_NOC","avg_X.WMC","avg_X.CBO","avg_X.RFC","avg_X.LCOM5","avg_X.DIT","avg_X.NOC","avg_addedsloc","avg_deletedsloc","avg_changedsloc","avg_churnsloc","avg_X.added","avg_X.deleted","avg_X.changed","avg_X.churn","max_SLOC","max_WMC","max_CBO","max_RFC","max_LCOM5","max_DIT","max_NOC","max_delta_WMC","max_delta_CBO","max_delta_RFC","max_delta_LCOM5","max_delta_DIT","max_delta_NOC","max_X.WMC","max_X.CBO","max_X.RFC","max_X.LCOM5","max_X.DIT","max_X.NOC","max_addedsloc","max_deletedsloc","max_changedsloc","max_churnsloc","max_X.added","max_X.deleted","max_X.changed","max_X.churn","sum_SLOC","sum_WMC","sum_CBO","sum_RFC","sum_LCOM5","sum_DIT","sum_NOC","sum_delta_WMC","sum_delta_CBO","sum_delta_RFC","sum_delta_LCOM5","sum_delta_DIT","sum_delta_NOC","sum_X.WMC","sum_X.CBO","sum_X.RFC","sum_X.LCOM5","sum_X.DIT","sum_X.NOC","sum_addedsloc","sum_deletedsloc","sum_changedsloc","sum_churnsloc","sum_X.added","sum_X.deleted","sum_X.changed","sum_X.churn","bug"
"org.apache.commons.lang3",311.478260869565,87.6521739130435,2.1304347826087,41.9130434782609,NA,0.0434782608695652,0,7.26086956521739,0.304347826086957,2.95652173913043,0.0471208160869565,0,0,0.0746607421739131,0.0714285714347826,0.0734182821304348,0.0238516047826087,0,0,27.5217391304348,4.8695652173913,4.95652173913043,32.4782608695652,0.0896912285652174,0.0113925984347826,0.0179481482173913,0.107639376913043,2035,603,10,321,NA,1,0,83,3,22,0.979166667,0,0,0.56,0.666666667,0.7,0.494736842,0,0,325,82,57,325,0.672897196,0.178861789,0.08411215,0.672897196,7164,2016,49,964,NA,1,0,167,7,68,1.08377877,0,0,1.71719707,1.642857143,1.688620489,0.54858691,0,0,633,112,114,747,2.062898257,0.262029764,0.412807409,2.475705669,6
"org.apache.commons.lang3.builder",312.375,86.75,2.875,87.125,0.663206395875,0.25,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2.25,2.75,0.0015235205,0,0.008211678875,0.009735199375,787,209,8,164,1.025,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,19,0.003690037,0,0.065693431,0.069343066,2499,694,23,697,5.305651167,2,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,22,0.012188164,0,0.065693431,0.077881595,0
"org.apache.commons.lang3.concurrent",54.8333333333333,10.9166666666667,1.58333333333333,11,NA,0.333333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,1.16666666666667,0,0.333333333333333,1.5,0.0256001109166667,0,0.00465701633333333,0.03025712725,114,27,4,26,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,7,0.066666667,0,0.029411765,0.066666667,658,131,19,132,NA,4,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,18,0.307201331,0,0.055884196,0.363085527,0
"org.apache.commons.lang3.event",64.5,10.5,2,10,NA,0,0,0,0,0.5,0,0,0,0,0,0.0833333335,0,0,0,0.5,0,0.5,1,0.010638298,0,0.006097561,0.016735859,82,16,2,15,NA,0,0,0,0,1,0,0,0,0,0,0.166666667,0,0,0,1,0,1,1,0.021276596,0,0.012195122,0.021276596,129,21,4,20,NA,0,0,0,0,1,0,0,0,0,0,0.166666667,0,0,0,1,0,1,2,0.021276596,0,0.012195122,0.033471718,0
"org.apache.commons.lang3.exception",93.8,24,2,14.8,0.8544871792,0.6,0,2.6,0.4,3,0.0144871794,0,0,0.1416666666,0.08,0.1925,0.0090726818,0,0,11.6,1,11.4,23,0.159770115,0.0100218484,0.134125938,0.293896053,242,67,4,28,1.5,1,0,7,2,9,0.041666667,0,0,0.333333333,0.4,0.5625,0.026315789,0,0,26,4,31,57,0.298850575,0.045977011,0.356321839,0.655172414,469,120,10,74,4.272435896,3,0,13,2,15,0.072435897,0,0,0.708333333,0.4,0.9625,0.045363409,0,0,58,5,57,115,0.798850575,0.050109242,0.67062969,1.469480265,0
"org.apache.commons.lang3.math",394.333333333333,113.333333333333,0.333333333333333,31.6666666666667,NA,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0.00169204733333333,0,0,0,0,0,4.66666666666667,2.66666666666667,11.6666666666667,16.3333333333333,0.007535577,0.00417318733333333,0.0212801866666667,0.0288157636666667,639,196,1,49,NA,1,0,1,0,0,0,0,0,0.005076142,0,0,0,0,0,13,8,22,35,0.020344288,0.012519562,0.034428795,0.054773083,1183,340,1,95,NA,1,0,1,0,0,0,0,0,0.005076142,0,0,0,0,0,14,8,35,49,0.022606731,0.012519562,0.06384056,0.086447291,3
"org.apache.commons.lang3.mutable",79.875,22.5,0.125,19.875,0.58646335525,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2.875,0,1.25,4.125,0.037477312375,0,0.013802851375,0.0512801635,92,26,1,24,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0.051724138,0,0.043478261,0.076086957,639,180,1,159,4.691706842,6,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,10,33,0.299818499,0,0.110422811,0.410241308,0
"org.apache.commons.lang3.reflect",217.8,60.2,2.4,26.2,NA,0,0,2.2,0,0.6,0,0,0,0.0452380952,0,0.0213064898,0,0,0,2.4,7,6.4,8.8,0.0049281314,0.0408829196,0.0393698068,0.0442979384,487,146,3,34,NA,0,0,6,0,1,0,0,0,0.12244898,0,0.043478261,0,0,0,12,22,13,17,0.024640657,0.105769231,0.106382979,0.106382979,1089,301,12,131,NA,0,0,11,0,3,0,0,0,0.226190476,0,0.106532449,0,0,0,12,35,32,44,0.024640657,0.204414598,0.196849034,0.221489692,1
"org.apache.commons.lang3.text",304.111111111111,75.2222222222222,3.55555555555556,43,NA,0.222222222222222,0.777777777777778,0.222222222222222,0.444444444444444,0.777777777777778,0.000252597,0,0,0.00140458766666667,0.0874779541111111,0.0177354957777778,0.000136878444444444,0,0,2.66666666666667,1.66666666666667,5.77777777777778,8.44444444444444,0.005378869,0.00902208,0.0260118421111111,0.031390711,1265,340,8,145,NA,1,5,1,1,3,0.002273373,0,0,0.009708738,0.333333333,0.066666667,0.001231906,0,0,12,13,30,33,0.021276596,0.076470588,0.176470588,0.194117647,2737,677,32,387,NA,2,7,2,4,7,0.002273373,0,0,0.012641289,0.787301587,0.159619462,0.001231906,0,0,24,15,52,76,0.048409821,0.08119872,0.234106579,0.282516399,0
"org.apache.commons.lang3.text.translate",61,9.1,0.3,9.3,NA,1,1,1.6,0.2,0.4,0.1,0,0,0.1434065934,0.15,0.045,0.0833333333,0,0,3.9,3,2.2,6.1,0.0809651218,0.1029503105,0.0584973721,0.1394624941,292,17,1,15,NA,2,8,9,1,2,0.5,0,0,0.857142857,1,0.25,0.5,0,0,28,27,10,31,0.430769231,0.964285714,0.321428571,0.678571429,610,91,3,93,NA,10,10,16,2,4,1,0,0,1.434065934,1.5,0.45,0.833333333,0,0,39,30,22,61,0.809651218,1.029503105,0.584973721,1.394624941,2
"org.apache.commons.lang3.time",311,61.25,4,34.5,0.93095369925,0.125,0,27.5,4.5,11.25,0.242843198625,0,0,0.42758320425,0.6875,0.321007531625,0.253534568625,0.25,0.25,145.5,65.125,6.125,151.625,0.269811222125,0.4523924835,0.031487195625,0.30129841775,626,151,16,80,1.083333333,1,0,94,16,32,0.964426877,0,0,1.342105263,3.5,1,1,1,1,626,515,27,626,1,3.551724138,0.186206897,1,2488,490,32,276,7.447629594,1,0,220,36,90,1.942745589,0,0,3.420665634,5.5,2.568060253,2.028276549,2,2,1164,521,49,1213,2.158489777,3.619139868,0.251897565,2.410387342,3
"org.apache.commons.lang3.tuple",35.6666666666667,9.16666666666667,1.33333333333333,36.6666666666667,0.954778439166667,0.666666666666667,0.666666666666667,4.66666666666667,0.666666666666667,18.1666666666667,0.473958333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,18.8333333333333,0,0,18.8333333333333,0.5224074075,0,0,0.5224074075,45,14,4,41,1.125,1,2,14,4,41,1.125,1,2,1,1,1,1,1,1,42,0,0,42,1,0,0,1,214,55,8,220,5.728670635,4,4,28,4,109,2.84375,2,2,3,3,3,3,3,3,113,0,0,113,3.134444445,0,0,3.134444445,0
