relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
math3\analysis\FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils,25,0,0,22,22,31,432,343,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0.101398601398601,-0.0952380952380952,0,0,0,0,231,231,22,21,undefined,0.818514818514819,0.00432900432900433,undefined,0,0,-0.777777777777777,0,0,0,0,0,13,0,0,0,0,7,0,2,7,0,0,0,0,41,2,31,0
math3\analysis\differentiation\DSCompiler.java,org.apache.commons.math3.analysis.differentiation.DSCompiler,180,8,8,47,47,209,831,693,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0.247340425531915,0.310144927536232,0.812415654520918,0.948717948717949,296,0.948717948717949,762,443,14,1,0.894021739130435,0.826549491211841,0.33950046253469,0.125,0.956521739130435,0.956521739130435,0.308931185944363,0.812415654520918,0,0,0,0,5,1,0,0,0,129,0,49,129,1,1,1,0,68,49,103,0
math3\analysis\differentiation\DerivativeStructure.java,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,83,3,3,67,67,56,412,296,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0.0920398009950249,0.813053613053613,0.952380952380952,0.964912280701754,117,0.964912280701754,407,0,7,2,0.474747474747475,0.840494497210915,0.818634102216192,0.532338308457711,0.984848484848485,0.96969696969697,-0.664999999999998,0.952380952380952,0,0,0,0,6,1,0,0,0,291,0,81,291,0,1,71,1,86,81,178,0
math3\analysis\differentiation\FiniteDifferencesDifferentiator.java,org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator,12,3,3,7,7,7,132,113,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.142857142857143,-0.0666666666666667,0,0,0,0,16,11,4,4,0.833333333333333,0.714285714285714,0.238095238095238,0.285714285714286,0.5,0.5,0,0,0,0,0,0,10,0,0,0,0,27,0,11,27,0,0,0,2,0,11,33,0
math3\analysis\differentiation\GradientFunction.java,org.apache.commons.math3.analysis.differentiation.GradientFunction,4,1,1,2,2,2,22,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,2,0,0,0,0,7,0,2,7,0,0,0,0,1,2,29,0
math3\analysis\differentiation\JacobianFunction.java,org.apache.commons.math3.analysis.differentiation.JacobianFunction,5,1,1,2,2,2,24,23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,2,0,0,0,0,7,0,2,7,0,0,0,0,0,2,29,0
math3\analysis\function\Abs.java,org.apache.commons.math3.analysis.function.Abs,1,0,0,1,1,1,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,1,2,0
math3\analysis\function\Acos.java,org.apache.commons.math3.analysis.function.Acos,3,0,0,3,3,2,12,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.333333333333333,-2,0,0,0,0,3,3,3,3,undefined,0.333333333333333,0,undefined,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,5,0,0,0,2,0,3,13,0
math3\analysis\function\Acosh.java,org.apache.commons.math3.analysis.function.Acosh,3,0,0,3,3,2,12,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.333333333333333,-2,0,0,0,0,3,3,3,3,undefined,0.333333333333333,0,undefined,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,5,0,0,0,2,0,3,13,0
math3\analysis\function\Add.java,org.apache.commons.math3.analysis.function.Add,1,0,0,1,1,2,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
