relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn,bug
math3\analysis\FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils,432,25,13,31,,0,0,16,9,22,0,0,0,0.615384615,0.642857143,0.6875,0,0,0,78,432,354,0,22,376,0.819444444,0,0.050925926,0.87037037,0
math3\analysis\function\Abs.java,org.apache.commons.math3.analysis.function.Abs,5,1,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,1,0,0,0.2,0.2,0
math3\analysis\function\Acos.java,org.apache.commons.math3.analysis.function.Acos,12,3,3,13,,0,0,2,2,8,0,0,0,0.5,0.5,0.571428571,0,0,0,5,12,7,0,1,8,0.583333333,0,0.083333333,0.666666667,0
math3\analysis\function\Acosh.java,org.apache.commons.math3.analysis.function.Acosh,12,3,3,13,,0,0,2,2,8,0,0,0,0.5,0.5,0.571428571,0,0,0,5,12,7,0,1,8,0.583333333,0,0.083333333,0.666666667,0
math3\analysis\function\Add.java,org.apache.commons.math3.analysis.function.Add,5,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,1,0,0,0.2,0.2,0
math3\analysis\function\Asin.java,org.apache.commons.math3.analysis.function.Asin,12,3,3,12,,0,0,2,2,8,0,0,0,0.5,0.5,0.615384615,0,0,0,5,12,7,0,1,8,0.583333333,0,0.083333333,0.666666667,0
math3\analysis\function\Asinh.java,org.apache.commons.math3.analysis.function.Asinh,12,3,3,13,,0,0,2,2,8,0,0,0,0.5,0.5,0.571428571,0,0,0,5,12,7,0,1,8,0.583333333,0,0.083333333,0.666666667,0
math3\analysis\function\Atan.java,org.apache.commons.math3.analysis.function.Atan,12,3,3,11,,0,0,2,2,8,0,0,0,0.5,0.5,0.666666667,0,0,0,5,12,7,0,1,8,0.583333333,0,0.083333333,0.666666667,0
math3\analysis\function\Atan2.java,org.apache.commons.math3.analysis.function.Atan2,5,1,1,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,1,0,0,0.2,0.2,0
math3\analysis\function\Atanh.java,org.apache.commons.math3.analysis.function.Atanh,12,3,3,12,,0,0,2,2,8,0,0,0,0.5,0.5,0.615384615,0,0,0,5,12,7,0,1,8,0.583333333,0,0.083333333,0.666666667,0
