"moduleName","avg_SLOC","avg_WMC","avg_CBO","avg_RFC","avg_LCOM5","avg_DIT","avg_NOC","avg_delta_WMC","avg_delta_CBO","avg_delta_RFC","avg_delta_LCOM5","avg_delta_DIT","avg_delta_NOC","avg_X.WMC","avg_X.CBO","avg_X.RFC","avg_X.LCOM5","avg_X.DIT","avg_X.NOC","avg_addedsloc","avg_deletedsloc","avg_changedsloc","avg_churnsloc","avg_X.added","avg_X.deleted","avg_X.changed","avg_X.churn","max_SLOC","max_WMC","max_CBO","max_RFC","max_LCOM5","max_DIT","max_NOC","max_delta_WMC","max_delta_CBO","max_delta_RFC","max_delta_LCOM5","max_delta_DIT","max_delta_NOC","max_X.WMC","max_X.CBO","max_X.RFC","max_X.LCOM5","max_X.DIT","max_X.NOC","max_addedsloc","max_deletedsloc","max_changedsloc","max_churnsloc","max_X.added","max_X.deleted","max_X.changed","max_X.churn","sum_SLOC","sum_WMC","sum_CBO","sum_RFC","sum_LCOM5","sum_DIT","sum_NOC","sum_delta_WMC","sum_delta_CBO","sum_delta_RFC","sum_delta_LCOM5","sum_delta_DIT","sum_delta_NOC","sum_X.WMC","sum_X.CBO","sum_X.RFC","sum_X.LCOM5","sum_X.DIT","sum_X.NOC","sum_addedsloc","sum_deletedsloc","sum_changedsloc","sum_churnsloc","sum_X.added","sum_X.deleted","sum_X.changed","sum_X.churn","bug"
"org.apache.commons.math3.analysis",432,25,13,31,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,25,13,31,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,25,13,31,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.apache.commons.math3.analysis.differentiation",287.4,57.4,5.2,75.6,0.4594681286,0,0,0.6,0.2,1.2,0.019047619,0,0,0.0375,0.0166666666,0.03,0.0098765432,0,0,4.8,1.6,3.6,8.4,0.032,0.008482509,0.0196316846,0.0516316846,829,180,11,178,0.928571429,0,0,3,1,6,0.095238095,0,0,0.1875,0.083333333,0.15,0.049382716,0,0,24,6,14,38,0.16,0.04,0.093333333,0.253333333,1437,287,26,378,2.297340643,0,0,3,1,6,0.095238095,0,0,0.1875,0.083333333,0.15,0.049382716,0,0,24,8,18,42,0.16,0.042412545,0.098158423,0.258158423,1
"org.apache.commons.math3.analysis.function",20.1555555555556,3.6,2.28888888888889,11.9333333333333,NA,0,0,0,0.0222222222222222,0.0888888888888889,0,0,0,0,0.0111111111111111,0.00552028217777778,0,0,0,0.244444444444444,0,0.266666666666667,0.511111111111111,0.0203703703777778,0,0.0212962963333333,0.0416666667111111,108,18,5,33,NA,0,0,0,1,1,0,0,0,0,0.5,0.071428571,0,0,0,11,0,2,11,0.916666667,0,0.166666667,0.916666667,907,162,103,537,NA,0,0,0,1,4,0,0,0,0,0.5,0.248412698,0,0,0,11,0,12,23,0.916666667,0,0.958333335,1.875000002,0
"org.apache.commons.math3.analysis.integration",78.3333333333333,11.8333333333333,8.33333333333333,52,0.6700396825,0.833333333333333,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,18,10,72,0.928571429,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,71,50,312,4.020238095,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.apache.commons.math3.analysis.integration.gauss",64.4,10,4,19.4,NA,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,15,6,27,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,50,20,97,NA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.apache.commons.math3.analysis.interpolation",93.25,16.8125,6.5,31.1875,NA,0.0625,0.0625,0.125,0.1875,2.3125,0,0,0,0.006578947375,0.015625,0.02434210525,0,0,0,0.875,0,0.25,1.125,0.0105421686875,0,0.0030120481875,0.013554216875,264,40,13,94,NA,1,1,2,3,37,0,0,0,0.105263158,0.25,0.389473684,0,0,0,14,0,4,18,0.168674699,0,0.048192771,0.21686747,1492,269,104,499,NA,1,1,2,3,37,0,0,0,0.105263158,0.25,0.389473684,0,0,0,14,0,4,18,0.168674699,0,0.048192771,0.21686747,0
"org.apache.commons.math3.analysis.polynomials",134.4,25.8,6,38.2,0.6756944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,47,8,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,129,30,191,3.378472222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.apache.commons.math3.analysis.solvers",71.9047619047619,12.952380952381,4,58.7142857142857,NA,1.66666666666667,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,41,12,85,NA,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1510,272,84,1233,NA,35,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.apache.commons.math3.complex",148.833333333333,33.6666666666667,5.16666666666667,36,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0,0,0.000854700833333333,0.000854700833333333,391,101,7,81,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.005128205,0.005128205,893,202,31,216,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.005128205,0.005128205,1
"org.apache.commons.math3.dfp",555,121,3.6,81.6,NA,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522,354,9,91,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2775,605,18,408,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.apache.commons.math3.distribution",98.64,22.24,7,69.12,0.83657798852,0.8,0.84,0,0,3.76,0,0,0.04,0,0,0.03778121344,0,0,0.00285714284,0,0,0.04,0.04,0,0,0.00033898304,0.00033898304,172,35,13,133,1,1,13,0,0,19,0,0,1,0,0,0.2,0,0,0.071428571,0,0,1,1,0,0,0.008474576,0.008474576,2466,556,175,1728,20.914449713,20,21,0,0,94,0,0,1,0,0,0.944530336,0,0,0.071428571,0,0,1,1,0,0,0.008474576,0.008474576,1
"org.apache.commons.math3.exception",17.9615384615385,3.42307692307692,2.11538461538462,15.2307692307692,1.10134615388462,2.34615384615385,1.61538461538462,0.0384615384615385,0.0769230769230769,0.653846153846154,0,0.115384615384615,0.115384615384615,0.0384615384615385,0.0384615384615385,0.0384615384615385,0.0384615384615385,0.0384615384615385,0.0589743589615385,0.269230769230769,0,0,0.269230769230769,0.0384615384615385,0,0,0.0384615384615385,42,9,3,19,2,4,16,1,2,17,0,3,2,1,1,1,1,1,1,7,0,0,7,1,0,0,1,467,89,55,396,28.635000001,61,42,1,2,17,0,3,3,1,1,1,1,1,1.533333333,7,0,0,7,1,0,0,1,0
"org.apache.commons.math3.exception.util",126.5,11.25,0.75,7.5,NA,0,0,0,0,0,1.92e-06,0,0,0,0,0,8.55e-07,0,0,0.25,0,0.25,0.5,0.000748503,0,0.000748503,0.001497006,334,28,2,19,NA,0,0,0,0,0,7.68e-06,0,0,0,0,0,3.42e-06,0,0,1,0,1,2,0.002994012,0,0.002994012,0.005988024,506,45,3,30,NA,0,0,0,0,0,7.68e-06,0,0,0,0,0,3.42e-06,0,0,1,0,1,2,0.002994012,0,0.002994012,0.005988024,0
"org.apache.commons.math3.filter",68.6666666666667,11.6666666666667,9.33333333333333,39,0.784030784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,23,16,66,0.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,35,28,117,2.352092352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.apache.commons.math3.fitting",82,4.4,3.8,55,NA,0.6,0.6,4.4,3.8,55,NA,0.6,0.6,1,1,1,1,1,1,82,0,0,82,1,0,0,1,171,9,8,83,NA,1,3,9,8,83,NA,1,3,1,1,1,1,1,1,171,0,0,171,1,0,0,1,410,22,19,275,NA,3,3,22,19,275,NA,3,3,5,5,5,5,5,5,410,0,0,410,5,0,0,5,0
