relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
time\Chronology.java,org.joda.time.Chronology,49,0,0,49,49,34,55,50,0,5,0,132,0,132,49,0,0,0,1,17,0,0,2,0,2,0.0680272108843537,-0.0425531914893617,0,0,0,0,1176,1176,49,49,undefined,0.874433106575964,0,undefined,0,0,-0.679012345679008,0,0,0,0,7833.01650387102,5,0,3,25,54,0,0,0,0,13,0,170,38,512,0,49,0
time\DateMidnight.java,org.joda.time.DateMidnight,89,4,1,135,67,70,359,246,3,0,3,1,1,0,66,68,1,3,0,0,1,0.0222222222222222,0,0,0,0.0796019900497512,-0.0125874125874126,0.392033542976939,0.392033542976939,83,0,2211,2211,67,28,1.01515151515152,0.872908186341022,0.0176390773405699,0,0,0,-0.537964458804523,0,0,0,85,0,17,0,0,0,0,304,121,173,183,0,0,5,33,4,88,433,0
time\DateTime.java,org.joda.time.DateTime,138,4,1,170,105,140,609,373,3,0,3,4,4,0,101,65,4,3,0,0,1,0.0705882352941176,0,0,0,0.0714285714285714,-0.00877520537714713,0.354450681635926,0.354450681635926,117,0,5460,5460,105,48,1.00961538461538,0.89502442002442,0.0104395604395604,0,0,0,-0.320416218155722,0,0,0,146,0,20,0,0,0,0,536,230,293,306,2,0,28,48,27,147,468,0
time\DateTimeComparator.java,org.joda.time.DateTimeComparator,27,6,6,13,13,8,93,62,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0.192307692307692,0.318181818181818,0.381818181818182,0.454545454545455,10,0.454545454545455,48,18,3,1,0.805555555555555,0.666666666666667,0.423076923076923,0.256410256410256,1,0.583333333333333,-1,0.381818181818182,0,0,0,0,5,5,0,0,0,27,0,17,27,0,2,0,8,0,17,26,0
time\DateTimeConstants.java,org.joda.time.DateTimeConstants,1,40,40,1,1,0,44,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,undefined,undefined,0,undefined,0,0,1,1,0,,1,0,0,0,,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
time\DateTimeField.java,org.joda.time.DateTimeField,50,0,0,50,50,77,52,51,0,4,0,491,0,491,50,0,0,0,3,32,0,0,91,0,91,0.233333333333333,-0.0416666666666667,0,0,0,0,1225,1225,50,50,undefined,0.665850340136054,0,undefined,0,0,-0.767250257466529,0,0,0,0,17974.3920405596,3,0,3,25,164,0,0,0,0,39,0,43,31,330,0,50,0
time\DateTimeFieldType.java,org.joda.time.DateTimeFieldType,30,48,48,30,30,3,297,160,0,1,0,3,0,3,30,0,0,0,1,1,0,0,0,0,0,0.05,-0.0640394088669951,0.00246305418719212,0.00246305418719212,3,0.00246305418719212,434,433,29,27,1.01652298850575,0.902298850574713,0.00689655172413793,0.0173611111111111,0.0689655172413793,0.0689655172413793,0,0.00246305418719212,0,0,0,306.867580547155,4,24,0,0,0,1,0,1,1,11,1,81,8,227,1,31,0
time\DateTimeUtils.java,org.joda.time.DateTimeUtils,46,4,4,24,24,24,197,139,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0.0611111111111111,-0.0197628458498024,0.104761904761905,0.104761904761905,8,0.104761904761905,265,254,19,15,0.945652173913043,0.883091787439614,0.0652173913043478,0.09375,0.260869565217391,0.130434782608696,-0.619047619047603,0.104761904761905,0,0,0,0,17,3,0,0,0,26,0,18,26,0,3,0,18,190,18,217,0
time\DateTimeZone.java,org.joda.time.DateTimeZone,134,11,11,47,47,52,557,398,0,1,0,30,0,30,47,0,0,0,4,4,0,0,6,0,6,0.057919621749409,0.0357487922705314,0.271428571428571,0.6,112,0.401587301587302,1041,1001,32,2,0.966403162055336,0.899475794017885,0.0767807585568918,0.0541586073500967,0.652173913043478,0.478260869565217,-0.535398230088496,0.161904761904762,0,0,0,14456.7458137607,18,7,1,3,15,53,0,21,53,2,5,99,30,102,20,309,0
time\Days.java,org.joda.time.Days,45,15,12,42,26,17,153,102,1,0,1,2,2,0,24,16,2,1,0,0,1,0.0476190476190476,0,0,0,0.0824175824175824,-0.0266666666666667,0.282608695652174,0.282608695652174,26,0.282608695652174,319,313,23,12,0.993333333333333,0.853626373626374,0.0523076923076923,0.0448717948717949,0.52,0,-0.111111111111109,0.282608695652174,0,0,25,0,19,11,0,0,0,81,37,48,44,0,1,6,7,6,23,301,0
